"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.087287120E-1,-1.951451227E-2,-2.678100467E-1,-1.284787357E-1,2.976740211E-1
1.111729310E-1,-1.279500127E-2,-2.458189130E-1,-1.272570193E-1,2.771010628E-1
1.136179310E-1,-4.242895171E-3,-2.256603688E-1,-1.272570193E-1,2.591041358E-1
1.160637640E-1,1.865752041E-3,-2.061126977E-1,-1.260352880E-1,2.416005360E-1
1.185087640E-1,7.974399254E-3,-1.841215640E-1,-1.223700941E-1,2.212211141E-1
1.209529830E-1,1.591563970E-2,-1.633521765E-1,-1.211483628E-1,2.039955072E-1
1.233980350E-1,1.896996424E-2,-1.407501698E-1,-1.211483628E-1,1.866745715E-1
1.258438690E-1,2.385688201E-2,-1.212024987E-1,-1.205375046E-1,1.725934139E-1
1.282888690E-1,2.691120654E-2,-1.022657007E-1,-1.187049150E-1,1.589759209E-1
1.307330870E-1,3.057639301E-2,-8.699408174E-2,-1.168723255E-1,1.488691591E-1
1.331781390E-1,3.363071755E-2,-7.294419408E-2,-1.156505942E-1,1.408081694E-1
1.356239210E-1,3.363071755E-2,-5.828343704E-2,-1.168723255E-1,1.348596481E-1
1.380689730E-1,3.424158320E-2,-4.789873958E-2,-1.138180047E-1,1.281456729E-1
1.405131920E-1,3.485244513E-2,-3.873576596E-2,-1.150397360E-1,1.262905118E-1
1.429581920E-1,3.424158320E-2,-3.507057950E-2,-1.144288629E-1,1.244845221E-1
1.454040250E-1,3.363071755E-2,-3.262712061E-2,-1.150397360E-1,1.242163235E-1
1.478490250E-1,3.424158320E-2,-2.835106663E-2,-1.150397360E-1,1.233304904E-1
1.502932960E-1,3.363071755E-2,-2.529674210E-2,-1.174831837E-1,1.247928235E-1
1.527382960E-1,3.179812431E-2,-2.040982433E-2,-1.174831837E-1,1.234098055E-1
1.551841290E-1,3.057639301E-2,-1.735549979E-2,-1.162614524E-1,1.214613293E-1
1.576291290E-1,3.057639301E-2,-1.185771823E-2,-1.156505942E-1,1.202105704E-1
