"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.178257410E-1,-7.297218777E-3,-2.922446430E-1,-6.458811760E-1,7.089588664E-1
1.202699080E-1,1.835909858E-2,-2.928555012E-1,-6.306095123E-1,6.955355908E-1
1.227148560E-1,4.584801197E-2,-2.891903222E-1,-6.153379083E-1,6.814497956E-1
1.251605850E-1,7.578038424E-2,-2.806382179E-1,-6.000663042E-1,6.667683597E-1
1.276055850E-1,1.014367044E-1,-2.610905468E-1,-5.835729241E-1,6.473137079E-1
1.300497000E-1,1.222060993E-1,-2.250495106E-1,-5.744099617E-1,6.289105000E-1
1.324946480E-1,1.368668675E-1,-1.767911911E-1,-5.676904917E-1,6.101312638E-1
1.349404290E-1,1.496950239E-1,-1.297546029E-1,-5.658578873E-1,5.995331565E-1
1.373853770E-1,1.619123220E-1,-9.065926075E-2,-5.683013201E-1,5.978303204E-1
1.398295430E-1,1.698535532E-1,-7.111158967E-2,-5.744099617E-1,6.032030270E-1
1.422744910E-1,1.820708513E-1,-7.233332098E-2,-5.805186033E-1,6.126856886E-1
1.447202200E-1,1.912338287E-1,-9.432445467E-2,-5.860164165E-1,6.236046187E-1
1.471651680E-1,1.985642016E-1,-1.328089386E-1,-5.860164165E-1,6.328358372E-1
1.496093350E-1,2.016185224E-1,-1.755694598E-1,-5.847947001E-1,6.430081688E-1
1.520542830E-1,1.967316121E-1,-2.207734585E-1,-5.786859989E-1,6.498628567E-1
1.545000640E-1,1.832925826E-1,-2.635339797E-1,-5.695230365E-1,6.537605207E-1
1.569450120E-1,1.667992324E-1,-3.032402098E-1,-5.621926785E-1,6.601796850E-1
1.593891790E-1,1.460298300E-1,-3.441681564E-1,-5.566949248E-1,6.705860649E-1
1.618341270E-1,1.228169575E-1,-3.863178194E-1,-5.566949248E-1,6.886470082E-1
1.642798560E-1,9.899324179E-2,-4.345761240E-1,-5.634143949E-1,7.183953297E-1
1.667248040E-1,7.578038424E-2,-4.895539582E-1,-5.786859989E-1,7.617632375E-1
1.691689700E-1,5.501098186E-2,-5.481969118E-1,-6.012880206E-1,8.155325536E-1
1.716139180E-1,2.996552736E-2,-6.208898425E-1,-6.324421167E-1,8.867836040E-1
1.740597000E-1,5.530940369E-3,-6.972479224E-1,-6.697048545E-1,9.667935916E-1
1.765046480E-1,-1.890364848E-2,-7.778820395E-1,-7.142980099E-1,1.056257290E0
1.789488140E-1,-4.333823919E-2,-8.585162163E-1,-7.631671429E-1,1.149500928E0
1.813937620E-1,-8.182271570E-2,-9.464807510E-1,-8.132580519E-1,1.250563644E0
1.838394910E-1,-1.007595211E-1,-1.030169249E0,-8.651815653E-1,1.349051631E0
1.862844390E-1,-1.441309154E-1,-1.117522836E0,-9.158833623E-1,1.452058312E0
1.887286060E-1,-1.667329073E-1,-1.185939670E0,-9.629199505E-1,1.536706736E0
1.911735540E-1,-2.058282495E-1,-1.254967451E0,-1.011178374E0,1.624743142E0
1.936193350E-1,-2.296519727E-1,-1.300782323E0,-1.055771470E0,1.690984352E0
1.960642830E-1,-2.546974421E-1,-1.342931986E0,-1.096699476E0,1.752451667E0
