"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.443733020E-1,-1.010947943E0,-1.783365369E0,-1.669050753E-2,2.050045452E0
1.468175210E-1,-9.993414879E-1,-1.738772273E0,-1.424704865E-2,2.005546161E0
1.492625210E-1,-9.852916598E-1,-1.698455215E0,-1.241445355E-2,1.963594635E0
1.517083540E-1,-9.767395258E-1,-1.665468454E0,-1.180358976E-2,1.930788595E0
1.541533540E-1,-9.681874514E-1,-1.635536194E0,-1.302531920E-2,1.900667052E0
1.565975730E-1,-9.578027129E-1,-1.611101508E0,-1.546877809E-2,1.874372799E0
1.590425730E-1,-9.510832429E-1,-1.589721322E0,-1.669050753E-2,1.852579766E0
1.614883540E-1,-9.455854297E-1,-1.575060487E0,-1.913396642E-2,1.837202616E0
1.639333540E-1,-9.406985044E-1,-1.563454151E0,-2.279915474E-2,1.824780086E0
1.663775730E-1,-9.358115792E-1,-1.555512905E0,-2.402088419E-2,1.815472587E0
1.688225730E-1,-9.321464300E-1,-1.550625920E0,-2.829693630E-2,1.809458048E0
1.712683540E-1,-9.278703332E-1,-1.546349883E0,-3.074039519E-2,1.803631417E0
1.737134060E-1,-9.248160124E-1,-1.540852070E0,-3.196212277E-2,1.797367891E0
1.761575730E-1,-9.217616916E-1,-1.537186861E0,-3.257298842E-2,1.792665351E0
1.786025730E-1,-9.187073708E-1,-1.532910824E0,-3.196212277E-2,1.787417244E0
1.810484060E-1,-9.162639380E-1,-1.528023958E0,-3.196212277E-2,1.781970370E0
1.834934060E-1,-9.119879007E-1,-1.520693541E0,-3.196212277E-2,1.773485932E0
1.859376250E-1,-9.089335799E-1,-1.513363242E0,-2.890780196E-2,1.765577587E0
1.883826250E-1,-9.046574831E-1,-1.504200220E0,-2.585347742E-2,1.755474826E0
1.908284060E-1,-9.003814459E-1,-1.493204713E0,-2.279915474E-2,1.743808150E0
1.932734060E-1,-8.954945207E-1,-1.485874295E0,-1.730137132E-2,1.734944436E0
1.957176250E-1,-8.893858790E-1,-1.477933049E0,-1.180358976E-2,1.724944250E0
1.981626250E-1,-8.802229166E-1,-1.469991803E0,-8.749265224E-3,1.713401539E0
2.006084060E-1,-8.722816706E-1,-1.462661386E0,-2.640618011E-3,1.703015154E0
2.030534580E-1,-8.643404245E-1,-1.460828781E0,2.246299293E-3,1.697383322E0
2.054976250E-1,-8.521231413E-1,-1.455941916E0,1.324186474E-2,1.687025802E0
2.079426250E-1,-8.533448577E-1,-1.457774520E0,2.179397084E-2,1.689313166E0
2.103884580E-1,-8.392949700E-1,-1.451665878E0,3.156780452E-2,1.677124442E0
2.128334580E-1,-8.417384624E-1,-1.457774520E0,4.073077813E-2,1.683831698E0
2.152776770E-1,-8.319646120E-1,-1.453498483E0,5.111547932E-2,1.675540434E0
2.177226770E-1,-8.319646120E-1,-1.460828781E0,6.394363940E-2,1.682342008E0
2.201684580E-1,-8.282994032E-1,-1.461439729E0,7.677179575E-2,1.681600396E0
2.226134580E-1,-8.221907616E-1,-1.467548370E0,8.959995210E-2,1.684554546E0
2.250576770E-1,-8.252450824E-1,-1.473657012E0,1.005955189E-1,1.691985193E0
2.275026770E-1,-8.142495155E-1,-1.479154825E0,1.140345335E-1,1.692307639E0
2.299484580E-1,-8.234124780E-1,-1.489539504E0,1.219757795E-1,1.706345256E0
2.323935110E-1,-8.105843067E-1,-1.490761161E0,1.348039508E-1,1.702230261E0
2.348376770E-1,-8.185255527E-1,-1.502367616E0,1.439669281E-1,1.716921375E0
2.372826770E-1,-8.075299859E-1,-1.502367616E0,1.525190324E-1,1.712447134E0
2.397285110E-1,-8.099734783E-1,-1.508476257E0,1.592385471E-1,1.719568135E0
2.421735110E-1,-8.081408739E-1,-1.510919690E0,1.659580469E-1,1.721485421E0
2.446177290E-1,-8.026431203E-1,-1.514584899E0,1.684015095E-1,1.722371175E0
2.470627290E-1,-8.063082695E-1,-1.517028332E0,1.714558303E-1,1.726529782E0
2.495085110E-1,-7.965344191E-1,-1.515195727E0,1.745101660E-1,1.720679799E0
2.519535110E-1,-8.032539487E-1,-1.515806675E0,1.726775616E-1,1.724153219E0
2.543977290E-1,-7.885932326E-1,-1.506032825E0,1.726775616E-1,1.708751502E0
2.568427290E-1,-7.959235907E-1,-1.502367616E0,1.720667034E-1,1.708862126E0
2.592885110E-1,-7.861497402E-1,-1.485263467E0,1.684015095E-1,1.688904393E0
2.617335630E-1,-7.873714566E-1,-1.474878669E0,1.659580469E-1,1.680108024E0
2.641777290E-1,-7.794302106E-1,-1.457163692E0,1.616819948E-1,1.660415172E0
2.666227290E-1,-7.720998526E-1,-1.444335461E0,1.574059427E-1,1.645302324E0
2.690685630E-1,-7.751541734E-1,-1.427842140E0,1.494647115E-1,1.631544321E0
2.715135630E-1,-7.562173605E-1,-1.409516215E0,1.451886594E-1,1.606138352E0
2.739577810E-1,-7.586608529E-1,-1.397298932E0,1.354148239E-1,1.595727975E0
2.764027810E-1,-7.378914356E-1,-1.372864246E0,1.262518317E-1,1.563706985E0
2.788485630E-1,-7.372805476E-1,-1.356370926E0,1.176997274E-1,1.548282248E0
2.812935630E-1,-7.226198316E-1,-1.323384285E0,1.122019440E-1,1.511990299E0
2.837377810E-1,-7.171220183E-1,-1.298949718E0,1.054824293E-1,1.487501564E0
2.861827810E-1,-7.042938471E-1,-1.264130354E0,9.693032503E-2,1.450327847E0
2.886286150E-1,-6.908548474E-1,-1.233587146E0,9.082168341E-2,1.416780239E0
2.910736150E-1,-6.829136014E-1,-1.201211333E0,8.349131048E-2,1.384286984E0
2.935177810E-1,-6.597007513E-1,-1.163948536E0,7.799352705E-2,1.340173222E0
2.959627810E-1,-6.535921097E-1,-1.134627104E0,7.066313922E-2,1.311317883E0
2.984086150E-1,-6.218271255E-1,-1.095531702E0,6.516536325E-2,1.261390189E0
3.008536150E-1,-6.120532751E-1,-1.065599322E0,5.966758355E-2,1.230313516E0
3.032978330E-1,-5.845643878E-1,-1.021006227E0,5.600239709E-2,1.177839338E0
3.057428330E-1,-5.674601793E-1,-9.892412424E-1,5.050461367E-2,1.141560339E0
3.081886150E-1,-5.448581576E-1,-9.483132958E-1,4.745028913E-2,1.094723732E0
3.106336150E-1,-5.222561955E-1,-9.104397297E-1,4.378510267E-2,1.050509005E0
3.130778330E-1,-5.075954199E-1,-8.707334995E-1,3.889818490E-2,1.008634228E0
3.155228330E-1,-4.776630700E-1,-8.316381574E-1,3.584385663E-2,9.597233014E-1
3.179686670E-1,-4.709435403E-1,-7.968188524E-1,3.278953582E-2,9.261658898E-1
3.204136670E-1,-4.404003024E-1,-7.552800775E-1,2.912434749E-2,8.747849161E-1
3.228578330E-1,-4.361242652E-1,-7.290129066E-1,2.362656407E-2,8.498366944E-1
3.253028860E-1,-4.098570645E-1,-6.941936016E-1,1.751791686E-2,8.063463569E-1
3.277486670E-1,-4.006941020E-1,-6.777002811E-1,1.079840586E-2,7.873690622E-1
3.301936670E-1,-3.835898936E-1,-6.563199759E-1,4.078893457E-3,7.602063894E-1
3.326378860E-1,-3.664856851E-1,-6.465461254E-1,-3.251483664E-3,7.431986422E-1
3.350828860E-1,-3.609879017E-1,-6.367723346E-1,-1.485791244E-2,7.321284237E-1
3.375286670E-1,-3.402184844E-1,-6.324962378E-1,-2.341002040E-2,7.185736823E-1
3.399736670E-1,-3.389967680E-1,-6.361614466E-1,-3.562731296E-2,7.217267490E-1
3.424178860E-1,-3.170056343E-1,-6.361614466E-1,-4.479028285E-2,7.121798423E-1
3.448628860E-1,-3.176164925E-1,-6.489896178E-1,-5.639671162E-2,7.247401944E-1
3.473087190E-1,-2.992905676E-1,-6.532656550E-1,-6.617055833E-2,7.216019697E-1
3.497537190E-1,-2.986797094E-1,-6.728133559E-1,-7.899871469E-2,7.403567908E-1
3.521978860E-1,-2.870732546E-1,-6.807546020E-1,-8.999428153E-2,7.442693412E-1
3.546429380E-1,-2.791320384E-1,-6.954153180E-1,-1.016007066E-1,7.562009408E-1
3.570887190E-1,-2.797428966E-1,-7.058000565E-1,-1.107636839E-1,7.672538052E-1
3.595337190E-1,-2.669147253E-1,-7.149630189E-1,-1.205375046E-1,7.726220803E-1
3.619779380E-1,-2.754668295E-1,-7.271803021E-1,-1.315330714E-1,7.886533553E-1
3.644229380E-1,-2.595843673E-1,-7.290129066E-1,-1.394743025E-1,7.863186013E-1
3.668687190E-1,-2.705799341E-1,-7.424519062E-1,-1.474155486E-1,8.038530200E-1
3.693137190E-1,-2.571409047E-1,-7.430627942E-1,-1.541350633E-1,8.012623657E-1
3.717579380E-1,-2.608060837E-1,-7.546691895E-1,-1.608545780E-1,8.145057361E-1
3.742029380E-1,-2.534756958E-1,-7.577235103E-1,-1.675740778E-1,8.163797633E-1
3.766487710E-1,-2.443127185E-1,-7.656647563E-1,-1.736827344E-1,8.222511269E-1
3.790937710E-1,-2.406475395E-1,-7.705516815E-1,-1.797913760E-1,8.270345041E-1
3.815379900E-1,-2.247650474E-1,-7.723842859E-1,-1.822348386E-1,8.248068550E-1
3.839829900E-1,-2.278193682E-1,-7.791038156E-1,-1.877326220E-1,8.331554221E-1
3.864287710E-1,-2.094934285E-1,-7.748277187E-1,-1.901760846E-1,8.248711617E-1
3.888737710E-1,-2.119368911E-1,-7.791038156E-1,-1.944521368E-1,8.305008337E-1
3.913179900E-1,-1.960544139E-1,-7.699408531E-1,-1.975064576E-1,8.186910597E-1
3.937629900E-1,-1.972761452E-1,-7.699408531E-1,-2.005607784E-1,8.197264303E-1
3.962087710E-1,-1.850588471E-1,-7.595561147E-1,-2.042259723E-1,8.080102202E-1
3.986538230E-1,-1.783393323E-1,-7.558909655E-1,-2.072802931E-1,8.038290795E-1
4.010979900E-1,-1.746741384E-1,-7.497822642E-1,-2.109454721E-1,7.982371143E-1
4.035429900E-1,-1.587916613E-1,-7.430627942E-1,-2.133889347E-1,7.892350381E-1
4.059888230E-1,-1.587916613E-1,-7.424519062E-1,-2.182758600E-1,7.899961872E-1
4.084338230E-1,-1.355787963E-1,-7.326780558E-1,-2.213301808E-1,7.772938906E-1
4.108780420E-1,-1.368005276E-1,-7.345106602E-1,-2.286605537E-1,7.813487973E-1
4.133230420E-1,-1.160311401E-1,-7.210716605E-1,-2.323257476E-1,7.664090410E-1
4.157688230E-1,-1.087007597E-1,-7.216824889E-1,-2.372126579E-1,7.674055740E-1
4.182138230E-1,-9.465087205E-2,-7.076326013E-1,-2.427104414E-1,7.540630241E-1
4.206580420E-1,-8.365530521E-2,-7.003022432E-1,-2.475973815E-1,7.474797023E-1
4.231030420E-1,-7.571406662E-2,-6.844197512E-1,-2.567603588E-1,7.349074075E-1
4.255488230E-1,-5.677726120E-2,-6.679264307E-1,-2.634798586E-1,7.202575998E-1
4.279938230E-1,-5.616639555E-2,-6.550982594E-1,-2.714211047E-1,7.113211719E-1
4.304380420E-1,-3.051007912E-2,-6.324962378E-1,-2.775297463E-1,6.913791404E-1
4.328830420E-1,-2.745575458E-2,-6.227224469E-1,-2.873035967E-1,6.863529858E-1
4.353288750E-1,3.315787762E-5,-5.976769924E-1,-2.952448130E-1,6.666237979E-1
4.377738750E-1,9.196128696E-3,-5.872922540E-1,-3.050186634E-1,6.618407251E-1
4.402180940E-1,3.179812431E-2,-5.604141951E-1,-3.141816258E-1,6.432614435E-1
4.426630940E-1,5.256752297E-2,-5.372013450E-1,-3.233446181E-1,6.292061439E-1
4.451088750E-1,6.967173517E-2,-5.127667785E-1,-3.331184387E-1,6.154281550E-1
