"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.365806990E-1,8.921940625E-2,-4.718388617E-1,-6.984155178E-1,8.475707931E-1
1.390248130E-1,1.057127565E-1,-4.406847656E-1,-7.014698386E-1,8.351276453E-1
1.414697610E-1,1.240386888E-1,-4.052546024E-1,-7.014698386E-1,8.195589202E-1
1.439155420E-1,1.460298300E-1,-3.612723649E-1,-6.996372342E-1,8.008337483E-1
1.463604380E-1,1.710752845E-1,-3.154574931E-1,-6.959720254E-1,7.830435767E-1
1.488046050E-1,1.985642016E-1,-2.629231215E-1,-6.910851598E-1,7.656076071E-1
1.512495530E-1,2.254422456E-1,-2.073344290E-1,-6.813113093E-1,7.469918820E-1
1.536952820E-1,2.559854686E-1,-1.474696845E-1,-6.715374589E-1,7.336473449E-1
1.561402300E-1,2.840852439E-1,-8.638320863E-2,-6.605418921E-1,7.242113474E-1
1.585843970E-1,3.134067655E-1,-2.468587644E-2,-6.471028924E-1,7.194270960E-1
1.610293440E-1,3.396739364E-1,3.945491463E-2,-6.348856091E-1,7.211205239E-1
1.634750740E-1,3.665519953E-1,9.687620401E-2,-6.208357215E-1,7.274492128E-1
1.659200220E-1,3.915974498E-1,1.524648964E-1,-6.049532294E-1,7.365884313E-1
1.683641880E-1,4.123668373E-1,2.025557905E-1,-5.902924538E-1,7.480109877E-1
1.708090840E-1,4.319145083E-1,2.477597743E-1,-5.750208497E-1,7.606471100E-1
1.732548650E-1,4.484078586E-1,2.850225270E-1,-5.585274696E-1,7.708828594E-1
1.756998130E-1,4.618468881E-1,3.247287273E-1,-5.420341492E-1,7.826572131E-1
1.781439280E-1,4.685663879E-1,3.503850400E-1,-5.255407691E-1,7.864586678E-1
1.805888760E-1,4.746750295E-1,3.742087781E-1,-5.078257322E-1,7.894527013E-1
1.830346050E-1,4.795619547E-1,3.986433446E-1,-4.894998074E-1,7.927838584E-1
1.854795530E-1,4.838380218E-1,4.188019037E-1,-4.681195319E-1,7.928620069E-1
