"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.084297530E-1,-3.286120594E-1,-1.774813294E0,-1.669050753E-2,1.805055869E0
1.108738680E-1,-3.359424472E-1,-1.744270086E0,-2.463174798E-2,1.776497167E0
1.133187630E-1,-3.438836932E-1,-1.709450722E0,-3.318385407E-2,1.744012309E0
1.157644410E-1,-3.493814766E-1,-1.674020648E0,-4.417941719E-2,1.710661968E0
1.182093360E-1,-3.567118347E-1,-1.634314418E0,-5.517498404E-2,1.673699862E0
1.206533990E-1,-3.634313643E-1,-1.590942979E0,-6.922487915E-2,1.633393401E0
1.230982950E-1,-3.701508641E-1,-1.546960711E0,-8.449649811E-2,1.592871232E0
1.255439720E-1,-3.756486475E-1,-1.500535011E0,-1.028224379E-1,1.550254715E0
1.279888680E-1,-3.805355728E-1,-1.450444102E0,-1.211483628E-1,1.504417609E0
1.304329820E-1,-3.848116100E-1,-1.402185798E0,-1.413069069E-1,1.460880771E0
1.328778260E-1,-3.866442144E-1,-1.350873232E0,-1.596328467E-1,1.414155183E0
1.353235550E-1,-3.872550726E-1,-1.297117114E0,-1.810131073E-1,1.365739742E0
1.377683990E-1,-3.872550726E-1,-1.243971825E0,-2.023933679E-1,1.318482259E0
1.402125130E-1,-3.866442144E-1,-1.188383102E0,-2.249953747E-1,1.269791741E0
1.426574090E-1,-3.848116100E-1,-1.129740119E0,-2.463756353E-1,1.218644191E0
1.451030860E-1,-3.842007518E-1,-1.069875360E0,-2.671450377E-1,1.167737117E0
1.475479820E-1,-3.805355728E-1,-1.009399772E0,-2.897470295E-1,1.116981899E0
1.499920450E-1,-3.774812520E-1,-9.483132958E-1,-3.117381632E-1,1.067225789E0
1.524369410E-1,-3.725943267E-1,-8.866159916E-1,-3.337292969E-1,1.017983149E0
1.548826180E-1,-3.695400059E-1,-8.273621202E-1,-3.532769680E-1,9.725700540E-1
1.573275130E-1,-3.664856851E-1,-7.687190771E-1,-3.728246391E-1,9.296445495E-1
1.597716280E-1,-3.640422225E-1,-7.112978101E-1,-3.905397356E-1,8.893776473E-1
1.622165240E-1,-3.634313643E-1,-6.557091475E-1,-4.076439440E-1,8.533524639E-1
1.646622010E-1,-3.609879017E-1,-6.037856340E-1,-4.241372943E-1,8.214388604E-1
1.671070970E-1,-3.597661853E-1,-5.536947250E-1,-4.406306446E-1,7.938292773E-1
1.695511590E-1,-3.597661853E-1,-5.084906816E-1,-4.546805322E-1,7.711866621E-1
1.719960550E-1,-3.622096181E-1,-4.645085037E-1,-4.668978155E-1,7.516365661E-1
1.744417320E-1,-3.634313643E-1,-4.235805571E-1,-4.797259867E-1,7.359618653E-1
1.768866280E-1,-3.664856851E-1,-3.844852149E-1,-4.907215238E-1,7.231516105E-1
1.793307430E-1,-3.683182895E-1,-3.472224772E-1,-5.023279190E-1,7.131305275E-1
1.817755860E-1,-3.725943267E-1,-3.160683811E-1,-5.114908814E-1,7.073532891E-1
1.842213160E-1,-3.780921102E-1,-2.861360013E-1,-5.175995827E-1,7.019521230E-1
1.866661590E-1,-3.829790354E-1,-2.586470842E-1,-5.255407691E-1,6.998316624E-1
