"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.710527300E-2,2.401985931E1,3.582565308E1,4.033554077E0,4.332090279E1
3.710527300E-2,2.401977539E1,3.626092529E1,3.564216614E0,4.364066857E1
4.710527300E-2,2.401744461E1,3.759455872E1,4.013008118E0,4.479165910E1
5.710527300E-2,2.248170853E1,3.652313614E1,2.903865814E0,4.298603411E1
6.710527300E-2,2.509158707E1,3.909425354E1,4.641414642E0,4.668502042E1
7.710527300E-2,2.324826431E1,3.758288574E1,3.994010925E0,4.437236998E1
8.710527300E-2,2.525043869E1,3.642469788E1,3.438167572E0,4.445406917E1
9.710527300E-2,2.417405701E1,3.669159317E1,2.634483337E0,4.401816152E1
1.071052730E-1,2.324953461E1,3.727648926E1,3.223770142E0,4.405076849E1
1.171052730E-1,2.402072906E1,3.581407166E1,3.259887695E0,4.324661861E1
1.271052730E-1,2.417304993E1,3.742863846E1,2.625923157E0,4.463333723E1
1.371052730E-1,2.417304993E1,3.742863846E1,2.625923157E0,4.463333723E1
1.471052730E-1,2.278879929E1,3.595669937E1,4.156181335E0,4.277250806E1
1.571052730E-1,2.278879929E1,3.595669937E1,4.156181335E0,4.277250806E1
1.671052730E-1,2.309619522E1,3.741229630E1,2.599327087E0,4.404396269E1
1.771052730E-1,2.478764725E1,3.860566711E1,1.853755951E0,4.591580774E1
1.871052730E-1,2.632911301E1,3.598259735E1,2.386764526E0,4.465048879E1
1.971052730E-1,2.278987885E1,3.666594696E1,2.290817261E0,4.323214184E1
2.071052730E-1,2.417271805E1,3.641993713E1,4.185237885E0,4.391182454E1
2.171052730E-1,2.494384766E1,3.712928009E1,1.565208435E0,4.475744467E1
2.271052730E-1,2.340663147E1,3.564342499E1,2.318000793E0,4.270476870E1
2.371052730E-1,2.540337753E1,3.658370972E1,4.059188843E0,4.472333195E1
2.471052730E-1,2.232574081E1,3.770702362E1,3.350570679E0,4.394865933E1
2.571052730E-1,2.478754425E1,3.730446625E1,3.571228027E0,4.493104964E1
2.671052730E-1,2.386612320E1,3.712451935E1,2.312278748E0,4.419466491E1
2.771052730E-1,2.617429733E1,3.657221985E1,2.530853271E0,4.504471472E1
2.871052730E-1,2.432826614E1,3.654420471E1,2.485260010E0,4.397180857E1
2.971052730E-1,2.340468216E1,3.769556808E1,1.520362854E0,4.439646949E1
3.071052730E-1,2.247919846E1,3.785908508E1,3.507389069E0,4.416929323E1
3.171052730E-1,2.386525345E1,3.713610077E1,3.085945129E0,4.425113964E1
3.271052730E-1,2.401871490E1,3.728816223E1,3.242767334E0,4.447270228E1
3.371052730E-1,2.448226547E1,3.567597961E1,3.427730560E0,4.340398808E1
3.471052730E-1,2.540288925E1,3.731380463E1,3.586425781E0,4.528232821E1
3.571052730E-1,2.478683472E1,3.832706451E1,2.940311432E0,4.573834803E1
3.671052730E-1,2.309466553E1,3.815628815E1,3.054962158E0,4.470568974E1
3.771052730E-1,2.509617615E1,3.686227417E1,3.274497986E0,4.471428912E1
3.871052730E-1,2.386779022E1,3.565505981E1,2.638866425E0,4.298742044E1
3.971052730E-1,2.416989899E1,3.848366547E1,4.161270142E0,4.563433679E1
4.071052730E-1,2.401674652E1,3.760382080E1,4.631938934E0,4.485873728E1
4.171052730E-1,2.417318726E1,3.670317459E1,3.408149719E0,4.408039804E1
4.271052730E-1,2.370982361E1,3.729970551E1,4.318298340E0,4.440801129E1
4.371052730E-1,2.340305328E1,3.713836288E1,3.693481445E0,4.405227243E1
4.471052730E-1,2.432179260E1,3.865657043E1,5.710689545E0,4.602707908E1
4.571052730E-1,2.370926666E1,3.658350372E1,5.719459534E0,4.396810535E1
4.671052730E-1,2.370926666E1,3.658350372E1,5.719459534E0,4.396810535E1
4.771052730E-1,2.247695923E1,3.687586212E1,6.768772125E0,4.371337529E1
4.871052730E-1,2.247695923E1,3.687586212E1,6.768772125E0,4.371337529E1
4.971052730E-1,2.524415970E1,3.752141571E1,7.758712769E0,4.588378646E1
5.071052730E-1,2.524415970E1,3.752141571E1,7.758712769E0,4.588378646E1
5.171052730E-1,2.370965576E1,3.455220795E1,7.909694672E0,4.264464937E1
5.271052730E-1,2.432171249E1,3.634203339E1,8.678012848E0,4.458247409E1
5.371052730E-1,2.386036682E1,3.546447372E1,9.605289459E0,4.380990284E1
5.471052730E-1,2.524402237E1,3.549706650E1,1.041315079E1,4.478544523E1
5.571052730E-1,2.524402237E1,3.549706650E1,1.041315079E1,4.478544523E1
5.671052730E-1,2.400944138E1,3.770110703E1,1.113074112E1,4.606213352E1
5.771052730E-1,2.324499512E1,3.560022736E1,9.433643341E0,4.355111494E1
5.871052730E-1,2.616422653E1,3.569322968E1,1.275523376E1,4.605724029E1
5.971052730E-1,2.540264511E1,3.312000656E1,9.051738739E0,4.271022345E1
6.071052730E-1,2.585999680E1,3.491908264E1,1.058992767E1,4.472391234E1
6.171052730E-1,2.493909836E1,3.473218918E1,8.866779327E0,4.366810470E1
6.271052730E-1,2.694069672E1,3.387113571E1,8.462242126E0,4.409835049E1
6.371052730E-1,2.693798447E1,3.535449219E1,9.064052582E0,4.536245335E1
6.471052730E-1,2.524751663E1,3.443740845E1,8.568332672E0,4.355213567E1
6.571052730E-1,2.617081833E1,3.386872864E1,9.062175751E0,4.375072046E1
6.671052730E-1,2.755932617E1,3.209998322E1,7.724319458E0,4.300686564E1
6.771052730E-1,2.786448669E1,3.344060135E1,8.335441589E0,4.431910450E1
6.871052730E-1,2.924932480E1,3.273383331E1,8.997131348E0,4.481043647E1
6.971052730E-1,2.955578232E1,3.275471497E1,1.008786392E1,4.525682953E1
7.071052730E-1,2.817570496E1,3.122718811E1,7.904518127E0,4.279589973E1
7.171052730E-1,2.955692673E1,3.129220581E1,1.087865067E1,4.439773758E1
7.271052730E-1,2.924959946E1,3.128290558E1,1.056158447E1,4.411016115E1
7.371052730E-1,3.002125168E1,2.923548126E1,1.091401672E1,4.330247889E1
7.471052730E-1,2.940612793E1,2.806539917E1,1.215038300E1,4.242662840E1
7.571052730E-1,3.217671585E1,2.823167038E1,1.066972733E1,4.411588531E1
