"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.939970410E-1,2.427194214E1,2.978633499E1,1.806198883E1,4.245690012E1
8.039970410E-1,2.519574356E1,3.022403717E1,1.684178543E1,4.280144452E1
8.139970410E-1,2.596405411E1,3.024729156E1,1.763444901E1,4.358904156E1
8.239970410E-1,2.612000275E1,3.007673645E1,1.593789291E1,4.290548974E1
8.339970410E-1,2.612000275E1,3.007673645E1,1.593789291E1,4.290548974E1
8.439970410E-1,2.720089340E1,2.801313782E1,1.490532303E1,4.179465452E1
8.539970410E-1,2.720089340E1,2.801313782E1,1.490532303E1,4.179465452E1
8.639970410E-1,2.920195389E1,2.817236710E1,1.371514130E1,4.283154771E1
8.739970410E-1,2.828538132E1,2.619108582E1,1.031046677E1,3.990415389E1
8.839970410E-1,2.905400467E1,2.548655701E1,1.173062515E1,4.038944592E1
8.939970410E-1,2.921111679E1,2.558997726E1,8.638046265E0,3.978381736E1
9.039970410E-1,3.213664627E1,2.632273865E1,5.452274323E0,4.189723020E1
9.139970410E-1,3.336892700E1,2.617547607E1,4.246517181E0,4.262245588E1
9.239970410E-1,3.306388855E1,2.512272644E1,3.167770386E0,4.164621086E1
9.339970410E-1,3.244802856E1,2.598857880E1,2.523368835E0,4.164910774E1
9.439970410E-1,3.152230072E1,2.745792770E1,3.102382660E0,4.191918433E1
9.539970410E-1,3.059733582E1,2.674625397E1,5.718608856E0,4.103975570E1
9.639970410E-1,2.997951889E1,2.879600525E1,5.369979858E0,4.191441464E1
9.739970410E-1,2.890367508E1,2.804261780E1,5.351943970E0,4.062578184E1
9.839970410E-1,3.059237289E1,2.912796021E1,7.238552094E0,4.285706455E1
9.939970410E-1,2.843818283E1,2.982537079E1,6.712600708E0,4.175334710E1
1.003997041E0,2.551199341E1,2.982502365E1,9.580341339E0,4.040020772E1
1.013997041E0,2.628051376E1,3.056911087E1,9.281314850E0,4.136760506E1
1.023997041E0,2.628239059E1,2.982048035E1,8.516208649E0,4.065157947E1
1.033997041E0,2.597328949E1,2.911119461E1,1.068343353E1,4.045008246E1
1.043997041E0,2.643219757E1,3.002118301E1,1.192242813E1,4.173819343E1
1.053997041E0,2.411844254E1,3.166094017E1,1.540546799E1,4.267836509E1
1.063997041E0,2.396819305E1,3.103190613E1,1.293278503E1,4.128813879E1
1.073997041E0,2.350359344E1,3.178974342E1,1.476962662E1,4.220365579E1
1.083997041E0,2.380904770E1,3.066610146E1,1.819505119E1,4.287587222E1
1.093997041E0,2.319503021E1,3.006017685E1,1.772250366E1,4.190120278E1
1.103997041E0,2.396508026E1,3.006026840E1,1.696783447E1,4.202204439E1
1.113997041E0,2.350235748E1,3.006948090E1,1.803956795E1,4.221327398E1
1.123997041E0,2.396542740E1,3.005563736E1,1.665836716E1,4.189491907E1
1.133997041E0,2.519710159E1,2.948235703E1,1.654087830E1,4.216282675E1
1.143997041E0,2.519774628E1,2.788171005E1,1.795231056E1,4.164854892E1
1.153997041E0,2.550832367E1,2.813718414E1,1.501655197E1,4.083959526E1
1.163997041E0,2.550832367E1,2.813718414E1,1.501655197E1,4.083959526E1
1.173997041E0,2.766608047E1,2.782641220E1,1.182376862E1,4.098198054E1
1.183997041E0,2.766608047E1,2.782641220E1,1.182376862E1,4.098198054E1
1.193997041E0,2.997381592E1,2.684577942E1,1.297587967E1,4.227882409E1
1.203997041E0,2.967246246E1,2.646753311E1,7.710769653E0,4.050236174E1
1.213997041E0,3.152079391E1,2.718858337E1,4.807872772E0,4.190340267E1
1.223997041E0,3.336757660E1,2.691715240E1,4.547424316E0,4.311156840E1
1.233997041E0,3.136976624E1,2.700410080E1,2.484786987E0,4.146634611E1
1.243997041E0,2.890887451E1,2.623665237E1,2.896755219E0,3.914685357E1
1.253997041E0,3.059755707E1,2.833532333E1,3.533512115E0,4.185196238E1
1.263997041E0,2.828781891E1,2.890847015E1,4.707542419E0,4.071929888E1
1.273997041E0,2.767204285E1,2.933903885E1,4.532470703E0,4.058404177E1
1.283997041E0,2.751589203E1,2.965700531E1,6.227317810E0,4.093216052E1
1.293997041E0,2.658844757E1,3.013618469E1,9.603515625E0,4.132024545E1
1.303997041E0,2.381651306E1,3.157983398E1,1.029167175E1,4.087090305E1
1.313997041E0,2.381473541E1,3.087984848E1,1.277596664E1,4.103574038E1
1.323997041E0,2.211810684E1,3.134735489E1,1.613316727E1,4.161906288E1
1.333997041E0,2.227220154E1,3.091209412E1,1.645156860E1,4.150015221E1
1.343997041E0,2.134672165E1,3.107560539E1,1.843859291E1,4.196852969E1
1.353997041E0,1.934515381E1,2.990999222E1,2.134282875E1,4.152540126E1
1.363997041E0,1.811330032E1,2.874909973E1,2.380186081E1,4.148651542E1
1.373997041E0,1.995822906E1,2.908120346E1,2.446296501E1,4.292416521E1
1.383997041E0,2.149884415E1,2.820619583E1,2.358283234E1,4.259037173E1
1.393997041E0,2.319520569E1,2.730804443E1,2.100443077E1,4.153231236E1
1.403997041E0,2.350475693E1,2.656408691E1,2.024692345E1,4.084191745E1
1.413997041E0,2.411993408E1,2.744398117E1,1.932345009E1,4.133205833E1
1.423997041E0,2.458311081E1,2.873133850E1,1.622477341E1,4.114683975E1
1.433997041E0,2.658470917E1,2.787029266E1,1.582023811E1,4.163868284E1
1.443997041E0,2.735484314E1,2.743510056E1,1.553490639E1,4.174093317E1
1.453997041E0,2.735665512E1,2.885823441E1,1.211365509E1,4.156831620E1
1.463997041E0,2.812845993E1,2.782183456E1,1.106150055E1,4.108067101E1
1.473997041E0,2.889859390E1,2.738664246E1,1.077616882E1,4.124660870E1
1.483997041E0,2.889859390E1,2.738664246E1,1.077616882E1,4.124660870E1
1.493997041E0,3.059772873E1,2.558319473E1,6.815441132E0,4.046197096E1
1.503997041E0,3.059772873E1,2.558319473E1,6.815441132E0,4.046197096E1
1.513997041E0,3.028754044E1,2.879604340E1,5.068111420E0,4.209789750E1
1.523997041E0,2.967166901E1,2.792541122E1,6.610519409E0,4.127875362E1
1.533997041E0,2.921028519E1,2.907452011E1,5.038089752E0,4.152048686E1
1.543997041E0,2.613150406E1,2.891053009E1,6.975349426E0,3.958951571E1
1.553997041E0,2.735924530E1,2.983682251E1,8.542804718E0,4.137322556E1
1.563997041E0,2.828317642E1,2.868082047E1,9.198226929E0,4.131748915E1
1.573997041E0,2.396981430E1,3.072087669E1,1.185307693E1,4.072861028E1
1.583997041E0,2.396873093E1,3.001162720E1,1.371843338E1,4.078471826E1
1.593997041E0,2.319610977E1,3.076942635E1,1.585714340E1,4.166852653E1
1.603997041E0,2.227164078E1,3.019589615E1,1.785272789E1,4.155163078E1
1.613997041E0,2.057672501E1,3.078532982E1,1.950615120E1,4.185245606E1
1.623997041E0,1.949803925E1,3.035918808E1,2.165095711E1,4.207870933E1
1.633997041E0,2.027009583E1,2.801694489E1,2.200681496E1,4.098933874E1
1.643997041E0,2.011682510E1,2.684923935E1,2.294511223E1,4.064537466E1
1.653997041E0,2.057580185E1,2.833728409E1,2.340358734E1,4.211998566E1
1.663997041E0,2.319647598E1,2.700164795E1,2.023418808E1,4.094615803E1
1.673997041E0,2.427099609E1,2.835161972E1,2.070957756E1,4.268234055E1
1.683997041E0,2.827672195E1,2.703004456E1,1.711017227E1,4.269606900E1
1.693997041E0,2.750875854E1,2.700215912E1,1.600803947E1,4.173854000E1
1.703997041E0,2.828203964E1,2.551194763E1,1.418735886E1,4.064497988E1
1.713997041E0,3.105074692E1,2.642684555E1,1.347180939E1,4.294201553E1
1.723997041E0,3.028668976E1,2.504447556E1,1.052828979E1,4.068604452E1
1.733997041E0,3.043981934E1,2.693765259E1,8.807765961E0,4.159082194E1
1.743997041E0,3.228802490E1,2.650259018E1,7.465896606E0,4.243398933E1
1.753997041E0,3.259966660E1,2.384926605E1,7.194847107E0,4.102793656E1
1.763997041E0,3.167397690E1,2.604176331E1,6.836902618E0,4.157111360E1
1.773997041E0,3.321485901E1,2.559740448E1,5.177967072E0,4.225240015E1
1.783997041E0,3.213482666E1,2.678118134E1,6.530269623E0,4.233820000E1
1.793997041E0,3.105434799E1,2.941819763E1,6.472858429E0,4.326315727E1
1.803997041E0,2.920915985E1,2.677388382E1,8.933815002E0,4.061808617E1
1.813997041E0,2.920915985E1,2.677388382E1,8.933815002E0,4.061808617E1
1.823997041E0,2.766482925E1,2.986928940E1,1.040719986E1,4.202174480E1
1.833997041E0,2.766482925E1,2.986928940E1,1.040719986E1,4.202174480E1
1.843997041E0,2.704887009E1,2.943393326E1,1.148027039E1,4.159079716E1
1.853997041E0,2.643449783E1,2.796440125E1,1.241059494E1,4.043282428E1
1.863997041E0,2.335421371E1,2.839931870E1,1.495993423E1,3.969559463E1
1.873997041E0,2.396554947E1,3.034350204E1,1.619074440E1,4.191915889E1
1.883997041E0,2.135243988E1,2.926269150E1,1.551920509E1,3.940910465E1
1.893997041E0,2.134588623E1,2.906052399E1,2.171195984E1,4.209002392E1
1.903997041E0,2.042437363E1,2.844761276E1,2.107707787E1,4.087376813E1
1.913997041E0,1.950226974E1,2.726359558E1,2.168691063E1,3.992448199E1
1.923997041E0,2.242482376E1,2.904906845E1,1.988175774E1,4.173733807E1
1.933997041E0,2.380876541E1,2.849897385E1,2.116066551E1,4.274134515E1
1.943997041E0,2.304017639E1,2.717683411E1,2.224020958E1,4.200067812E1
1.953997041E0,2.519873810E1,2.540818024E1,2.014768028E1,4.106678762E1
1.963997041E0,2.612158585E1,2.629274368E1,1.923180580E1,4.175533465E1
1.973997041E0,2.596725845E1,2.615226746E1,1.984864998E1,4.185938975E1
1.983997041E0,2.750862122E1,2.497780991E1,1.866247559E1,4.158008206E1
1.993997041E0,2.597102737E1,2.639149475E1,1.613162804E1,4.038854641E1
2.003997041E0,2.735746765E1,2.638702774E1,1.446375656E1,4.066824957E1
2.013997041E0,2.950915527E1,2.789380264E1,1.449982834E1,4.311727603E1
2.023997041E0,2.750951767E1,2.757094955E1,1.460859299E1,4.159737745E1
2.033997041E0,2.812664795E1,2.639870071E1,1.448275375E1,4.120376051E1
2.043997041E0,2.935763931E1,2.757117081E1,1.279738617E1,4.225888709E1
2.053997041E0,2.812388611E1,2.817223740E1,1.477167511E1,4.245974936E1
2.063997041E0,2.843257904E1,2.917634583E1,1.260102463E1,4.264336441E1
2.073997041E0,2.628033829E1,2.782161331E1,1.287270737E1,4.037827315E1
2.083997041E0,2.643157578E1,2.872692871E1,1.410409927E1,4.150650849E1
2.093997041E0,2.504543304E1,2.901695251E1,1.514961243E1,4.121611343E1
2.103997041E0,2.581482315E1,2.974945831E1,1.407691956E1,4.182816071E1
2.113997041E0,2.488955307E1,3.063380241E1,1.497224808E1,4.221478313E1
2.123997041E0,2.319524002E1,3.078100777E1,1.663080978E1,4.197705841E1
2.133997041E0,2.211758423E1,3.135430336E1,1.659736443E1,4.180612846E1
2.143997041E0,2.211758423E1,3.135430336E1,1.659736443E1,4.180612846E1
2.153997041E0,1.981207657E1,2.883185959E1,1.780734444E1,3.925424845E1
2.163997041E0,1.981207657E1,2.883185959E1,1.780734444E1,3.925424845E1
2.173997041E0,2.134696579E1,2.976977158E1,1.984660149E1,4.166317125E1
2.183997041E0,2.026762009E1,3.007604599E1,2.167337990E1,4.225021139E1
2.193997041E0,2.150077438E1,2.991719818E1,1.969395256E1,4.177527754E1
2.203997041E0,2.334766006E1,2.819715118E1,2.115269089E1,4.228036066E1
2.213997041E0,2.319480133E1,2.760286713E1,2.100100708E1,4.172480534E1
2.223997041E0,2.027104568E1,2.757009125E1,2.170248413E1,4.052188350E1
2.233997041E0,2.211526108E1,2.805654144E1,2.282607460E1,4.239438609E1
2.243997041E0,2.503969193E1,2.909339142E1,2.025581360E1,4.340172324E1
2.253997041E0,2.535059357E1,2.760775375E1,1.919740105E1,4.211152893E1
2.263997041E0,2.657999420E1,2.894616318E1,1.874818611E1,4.354160007E1
2.273997041E0,2.735292816E1,2.746058273E1,1.723697090E1,4.241909298E1
2.283997041E0,2.735205841E1,2.747216415E1,1.801063728E1,4.274620402E1
2.293997041E0,2.935585403E1,2.600294113E1,1.637508583E1,4.249779464E1
2.303997041E0,2.889614105E1,2.568259430E1,1.512924576E1,4.151477683E1
2.313997041E0,2.828097916E1,2.653917313E1,1.386590576E1,4.118743540E1
2.323997041E0,2.920369339E1,2.814920425E1,1.216780853E1,4.234724279E1
2.333997041E0,2.766434097E1,2.784957504E1,1.337110138E1,4.146927711E1
2.343997041E0,2.797579575E1,2.621189499E1,1.200493240E1,4.017246555E1
2.353997041E0,2.797589493E1,2.751309967E1,1.028745651E1,4.056418509E1
2.363997041E0,2.705168915E1,2.737020874E1,1.150424194E1,4.016552993E1
2.373997041E0,2.720354080E1,2.870153809E1,1.164736557E1,4.122465337E1
2.383997041E0,2.704979324E1,2.913217163E1,1.101949692E1,4.125292778E1
2.393997041E0,2.581552124E1,2.974019241E1,1.345798492E1,4.161775510E1
2.403997041E0,2.520080566E1,2.914353180E1,1.360437012E1,4.085957584E1
2.413997041E0,2.519703674E1,3.165411949E1,1.388473129E1,4.277452167E1
2.423997041E0,2.396461487E1,2.977703094E1,1.774492455E1,4.214091462E1
2.433997041E0,2.334783173E1,3.094464874E1,1.756129837E1,4.255692344E1
2.443997041E0,2.334746552E1,2.921279907E1,2.005757523E1,4.243581152E1
2.453997041E0,2.103787994E1,3.079696465E1,1.982701683E1,4.223927107E1
2.463997041E0,2.150096893E1,2.890154648E1,2.078907204E1,4.159058271E1
2.473997041E0,2.150096893E1,2.890154648E1,2.078907204E1,4.159058271E1
2.483997041E0,1.996107101E1,2.875395203E1,2.230012131E1,4.150336762E1
