"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.342605500E-2,3.133704376E1,2.528276062E1,-3.580329895E0,4.042334794E1
4.342605500E-2,3.395333862E1,2.603170013E1,-5.381095886E0,4.312116428E1
5.342605500E-2,3.334388351E1,2.333888245E1,-7.377010345E0,4.136348974E1
6.342605500E-2,3.241882324E1,2.494406128E1,-7.573375702E0,4.159978742E1
7.342605500E-2,3.441980743E1,2.365699387E1,-6.889640808E0,4.233017426E1
8.342605500E-2,3.457958984E1,2.068566895E1,-8.553665161E0,4.119235513E1
9.342605500E-2,3.504084015E1,2.113026428E1,-8.856868744E0,4.186636682E1
1.034260550E-1,3.488697815E1,2.127302551E1,-9.017116547E0,4.184436939E1
1.134260550E-1,3.596524048E1,2.025749969E1,-8.978534698E0,4.224309295E1
1.234260550E-1,3.642845917E1,2.038643646E1,-1.067091370E1,4.308721189E1
1.334260550E-1,3.535085678E1,2.066954422E1,-1.039146805E1,4.224802648E1
1.434260550E-1,3.535085678E1,2.066954422E1,-1.039146805E1,4.224802648E1
1.534260550E-1,3.535377502E1,1.990702057E1,-1.208497620E1,4.233468467E1
1.634260550E-1,3.535377502E1,1.990702057E1,-1.208497620E1,4.233468467E1
1.734260550E-1,3.504792023E1,1.857567215E1,-1.207716751E1,4.146408426E1
1.834260550E-1,3.520412445E1,1.796751785E1,-1.345911789E1,4.175296313E1
1.934260550E-1,3.489725876E1,1.737321472E1,-1.345986557E1,4.124094131E1
2.034260550E-1,3.720230103E1,1.961242294E1,-1.389275742E1,4.429071058E1
2.134260550E-1,3.458542252E1,2.104219055E1,-1.428393173E1,4.292966270E1
2.234260550E-1,3.443529129E1,1.795121384E1,-1.378757858E1,4.120840555E1
2.334260550E-1,3.535894775E1,1.824614716E1,-1.469660950E1,4.241659349E1
2.434260550E-1,3.335799026E1,1.938811493E1,-1.522389603E1,4.147796433E1
2.534260550E-1,3.320452881E1,1.923606110E1,-1.538071442E1,4.134166368E1
2.634260550E-1,3.505106735E1,1.752064514E1,-1.361251450E1,4.148313970E1
2.734260550E-1,3.520736694E1,1.734545517E1,-1.561853409E1,4.224171054E1
2.834260550E-1,3.612943268E1,1.780632782E1,-1.529140472E1,4.308396772E1
2.934260550E-1,3.458824921E1,1.984670639E1,-1.535337067E1,4.273130853E1
3.034260550E-1,3.350957489E1,2.028880310E1,-1.430196762E1,4.170219920E1
3.134260550E-1,3.489762115E1,1.910506439E1,-1.595614624E1,4.286544121E1
3.234260550E-1,3.397168732E1,1.985358047E1,-1.428543472E1,4.186064789E1
3.334260550E-1,3.289570618E1,1.982565689E1,-1.508569717E1,4.126454186E1
3.434260550E-1,3.273982620E1,2.144250870E1,-1.526306534E1,4.200760125E1
3.534260550E-1,3.243394089E1,2.025624847E1,-1.541169739E1,4.122858887E1
3.634260550E-1,3.304943085E1,2.040836334E1,-1.570767593E1,4.189865460E1
3.734260550E-1,3.273791122E1,2.146798706E1,-1.356099701E1,4.143121938E1
3.834260550E-1,3.289282227E1,2.131132889E1,-1.432915115E1,4.173050525E1
3.934260550E-1,3.427612686E1,2.134855652E1,-1.321182251E1,4.248724505E1
4.034260550E-1,3.458044052E1,2.443723679E1,-1.401384354E1,4.460239028E1
4.134260550E-1,3.381408691E1,2.048026276E1,-1.166561890E1,4.121796090E1
4.234260550E-1,3.381571198E1,2.016922379E1,-1.274532700E1,4.138530325E1
4.334260550E-1,3.427692413E1,1.989067841E1,-1.211157227E1,4.143955596E1
4.434260550E-1,3.427496719E1,2.107458115E1,-1.181579971E1,4.193476445E1
4.534260550E-1,3.550785065E1,2.048509598E1,-1.301642227E1,4.301016000E1
4.634260550E-1,3.550785065E1,2.048509598E1,-1.301642227E1,4.301016000E1
4.734260550E-1,3.443078613E1,1.974792099E1,-1.195132446E1,4.145230480E1
4.834260550E-1,3.443078613E1,1.974792099E1,-1.195132446E1,4.145230480E1
4.934260550E-1,3.350936508E1,1.956797409E1,-1.321027756E1,4.099139655E1
5.034260550E-1,3.320626831E1,1.921289825E1,-1.692804718E1,4.193269006E1
5.134260550E-1,3.304943085E1,2.040836334E1,-1.570767593E1,4.189865460E1
5.234260550E-1,3.382002258E1,1.938816833E1,-1.567669678E1,4.201730383E1
5.334260550E-1,3.382002258E1,1.938816833E1,-1.567669678E1,4.201730383E1
5.434260550E-1,3.335866547E1,2.039218903E1,-1.709268188E1,4.267085315E1
5.534260550E-1,3.382093048E1,2.009973526E1,-1.738732147E1,4.301364486E1
5.634260550E-1,3.535682678E1,2.030060577E1,-1.533950806E1,4.356053607E1
5.734260550E-1,3.212613297E1,2.097704315E1,-1.620152283E1,4.164869867E1
5.834260550E-1,3.412419510E1,2.045250320E1,-1.382428360E1,4.211741202E1
5.934260550E-1,3.304396820E1,2.178368759E1,-1.247369003E1,4.149729898E1
6.034260550E-1,3.273528671E1,2.251606369E1,-1.248984909E1,4.164815063E1
6.134260550E-1,3.381464767E1,2.119646072E1,-1.306677628E1,4.199358269E1
6.234260550E-1,3.550365829E1,2.155401993E1,-1.055267715E1,4.285375739E1
6.334260550E-1,3.457763672E1,2.273781586E1,-9.351303101E0,4.242720944E1
6.434260550E-1,3.534770966E1,2.172456741E1,-8.856121063E0,4.242461888E1
6.534260550E-1,3.611699677E1,2.115587234E1,-8.211341858E0,4.265483003E1
6.634260550E-1,3.503932190E1,1.999268723E1,-6.057975769E0,4.079412571E1
6.734260550E-1,3.611694336E1,2.144606018E1,-8.524230957E0,4.286058339E1
6.834260550E-1,3.657814789E1,2.029926682E1,-6.797069550E0,4.238185096E1
6.934260550E-1,3.581033325E1,2.041415787E1,-8.210380554E0,4.203008634E1
7.034260550E-1,3.642871475E1,1.994884109E1,-1.035631180E1,4.280491460E1
7.134260550E-1,3.412102509E1,1.977104950E1,-1.010212708E1,4.070861976E1
7.234260550E-1,3.335116959E1,2.150512314E1,-1.168899918E1,4.136911331E1
7.334260550E-1,3.535520554E1,2.061163712E1,-1.425979996E1,4.333788225E1
7.434260550E-1,3.335986710E1,1.863948822E1,-1.598900223E1,4.142414086E1
7.534260550E-1,3.428119278E1,2.026804733E1,-1.644923782E1,4.308794897E1
7.634260550E-1,3.397452545E1,1.952633286E1,-1.644827652E1,4.249813943E1
7.734260550E-1,3.382077026E1,1.908872223E1,-1.598274231E1,4.199609350E1
7.834260550E-1,3.582228088E1,1.779470825E1,-1.576320648E1,4.299262876E1
7.934260550E-1,3.582228088E1,1.779470825E1,-1.576320648E1,4.299262876E1
8.034260550E-1,3.504853821E1,1.986992264E1,-1.425883865E1,4.273790280E1
8.134260550E-1,3.504853821E1,1.986992264E1,-1.425883865E1,4.273790280E1
8.234260550E-1,3.320302582E1,1.983496094E1,-1.476863098E1,4.140023019E1
8.334260550E-1,3.427753830E1,2.031669235E1,-1.319984055E1,4.197562877E1
8.434260550E-1,3.427543259E1,2.135781860E1,-1.259288788E1,4.230298476E1
8.534260550E-1,3.381658173E1,2.015764236E1,-1.351899338E1,4.162517180E1
8.634260550E-1,3.442842484E1,2.122664642E1,-1.165898132E1,4.209297804E1
8.734260550E-1,3.457738495E1,2.317540359E1,-9.665904999E0,4.273317916E1
8.834260550E-1,3.457738495E1,2.317540359E1,-9.665904999E0,4.273317916E1
8.934260550E-1,3.488142776E1,2.308362961E1,-6.252460480E0,4.229256697E1
9.034260550E-1,3.580629730E1,2.249409485E1,-7.151214600E0,4.288607116E1
9.134260550E-1,3.488344193E1,2.160953903E1,-6.235340118E0,4.150549559E1
9.234260550E-1,3.549685669E1,2.265768433E1,-5.767925262E0,4.250489920E1
9.334260550E-1,3.441883850E1,2.236737442E1,-4.398502350E0,4.128320125E1
9.434260550E-1,3.595946121E1,1.961079025E1,-2.935375214E0,4.106436865E1
9.534260550E-1,3.749456406E1,2.126953506E1,-1.987812042E0,4.315306307E1
9.634260550E-1,3.642014694E1,2.122076416E1,-4.180675507E0,4.235830476E1
9.734260550E-1,3.719323730E1,2.074620056E1,-7.096473694E0,4.317524381E1
9.834260550E-1,3.658171082E1,1.981766510E1,-9.422397614E0,4.265844574E1
9.934260550E-1,3.642960358E1,1.892392731E1,-9.880126953E0,4.222378418E1
1.003426055E0,3.643256378E1,1.888454819E1,-1.251059341E1,4.290073206E1
1.013426055E0,3.489343262E1,2.017398453E1,-1.349239731E1,4.250395366E1
1.023426055E0,3.505452728E1,1.848765182E1,-1.795703125E1,4.350940271E1
1.033426055E0,3.382482147E1,1.787701797E1,-1.813530731E1,4.233905633E1
1.043426055E0,3.243600464E1,1.849197388E1,-1.508168793E1,4.026791285E1
1.053426055E0,3.243541336E1,1.980244064E1,-1.618022919E1,4.130366221E1
1.063426055E0,3.304572296E1,2.074719238E1,-1.277117157E1,4.105567709E1
1.073426055E0,3.504596710E1,2.062781525E1,-1.287480164E1,4.265544618E1
1.083426055E0,3.489088440E1,2.078678894E1,-1.195191193E1,4.233571314E1
1.093426055E0,3.273528671E1,2.251606369E1,-1.248984909E1,4.164815063E1
1.103426055E0,3.411772156E1,2.256486893E1,-1.059885406E1,4.225550782E1
1.113426055E0,3.273057175E1,2.359193420E1,-9.561897278E0,4.146443736E1
1.123426055E0,3.103612137E1,2.446461105E1,-8.685565948E0,4.046229207E1
1.133426055E0,3.103612137E1,2.446461105E1,-8.685565948E0,4.046229207E1
1.143426055E0,3.302631378E1,2.795253754E1,-4.188282013E0,4.346979944E1
1.153426055E0,3.302631378E1,2.795253754E1,-4.188282013E0,4.346979944E1
1.163426055E0,3.379467010E1,2.681736755E1,-1.989326477E0,4.318805795E1
1.173426055E0,3.178702164E1,2.848263550E1,2.893913269E0,4.277908371E1
1.183426055E0,3.178702164E1,2.848263550E1,2.893913269E0,4.277908371E1
1.193426055E0,3.178578568E1,2.676237106E1,6.163856506E0,4.200659237E1
1.203426055E0,3.239843369E1,2.724172974E1,8.030719757E0,4.308436844E1
1.213426055E0,3.208927917E1,2.682263184E1,9.885055542E0,4.297545508E1
1.223426055E0,3.178152847E1,2.725323868E1,9.408123016E0,4.291057386E1
1.233426055E0,3.132257080E1,2.475186539E1,1.019949341E1,4.120422245E1
1.243426055E0,3.178354263E1,2.577914810E1,9.425243378E0,4.199515772E1
1.253426055E0,3.270829010E1,2.490174866E1,8.994110107E0,4.208115189E1
1.263426055E0,3.348059082E1,2.400349426E1,7.321311951E0,4.184159781E1
1.273426055E0,3.456035614E1,2.238906860E1,6.747810364E0,4.172794692E1
1.283426055E0,3.548899078E1,2.203876877E1,2.132030487E0,4.182967069E1
1.293426055E0,3.734008789E1,2.098628235E1,-1.059791565E0,4.284657943E1
1.303426055E0,3.441863251E1,2.164654160E1,-3.306804657E0,4.079399446E1
1.313426055E0,3.442385101E1,2.157705307E1,-7.948802948E0,4.139751449E1
1.323426055E0,3.150204086E1,2.224194717E1,-9.886356354E0,3.980983339E1
1.333426055E0,3.273577118E1,2.178596497E1,-1.201708603E1,4.111774971E1
1.343426055E0,3.303866577E1,2.503826904E1,-1.173768616E1,4.308412270E1
1.353426055E0,3.334687805E1,2.402265549E1,-1.094443893E1,4.253096514E1
1.363426055E0,3.196007156E1,2.504508972E1,-1.021694946E1,4.186990267E1
1.373426055E0,3.180253983E1,2.624982071E1,-8.377647400E0,4.207896865E1
1.383426055E0,3.272796249E1,2.637649536E1,-1.067756271E1,4.336876044E1
1.393426055E0,3.149282455E1,2.786433792E1,-8.558811188E0,4.291238254E1
1.403426055E0,3.211424637E1,2.417455292E1,-9.429214478E0,4.128733358E1
1.413426055E0,3.179869461E1,2.731411362E1,-6.223365784E0,4.237862744E1
1.423426055E0,3.287258911E1,2.736983109E1,-3.566303253E0,4.292357496E1
1.433426055E0,3.087091064E1,2.678459167E1,-1.287849426E0,4.089114857E1
1.443426055E0,3.332650757E1,2.805680847E1,2.472846985E0,4.363433946E1
1.453426055E0,3.332650757E1,2.805680847E1,2.472846985E0,4.363433946E1
1.463426055E0,3.193676376E1,2.810528564E1,7.080650330E0,4.312771232E1
1.473426055E0,3.147401810E1,2.637800980E1,1.033919144E1,4.234751581E1
1.483426055E0,3.147401810E1,2.637800980E1,1.033919144E1,4.234751581E1
1.493426055E0,3.008732986E1,2.768832016E1,1.059905624E1,4.224015252E1
1.503426055E0,2.885742569E1,2.722509384E1,1.041906357E1,4.101845484E1
1.513426055E0,2.915997696E1,2.860045242E1,1.335118484E1,4.297143553E1
1.523426055E0,3.177941895E1,2.554455566E1,1.345172882E1,4.293489025E1
1.533426055E0,3.177941895E1,2.554455566E1,1.345172882E1,4.293489025E1
1.543426055E0,3.101121140E1,2.682250214E1,1.094159317E1,4.243654456E1
1.553426055E0,3.178388977E1,2.577451706E1,9.115772247E0,4.192420163E1
1.563426055E0,3.378776550E1,2.387001801E1,7.949558258E0,4.212583926E1
1.573426055E0,3.302163696E1,2.425193024E1,4.676025391E0,4.123651102E1
1.583426055E0,3.409881592E1,2.527697372E1,3.143302917E0,4.256213107E1
1.593426055E0,3.518336105E1,2.316473389E1,-1.138664246E0,4.213989021E1
1.603426055E0,3.457189941E1,2.281425095E1,-4.245101929E0,4.163804949E1
1.613426055E0,3.134607315E1,2.342583466E1,-9.439651489E0,4.025485128E1
1.623426055E0,3.272985840E1,2.461453247E1,-1.019281769E1,4.220204227E1
1.633426055E0,3.119344711E1,2.528885269E1,-1.286983871E1,4.216858975E1
1.643426055E0,3.273234558E1,2.429191971E1,-1.204619217E1,4.250428868E1
1.653426055E0,3.241904068E1,2.653313065E1,-9.758472443E0,4.301428838E1
1.663426055E0,3.134184265E1,2.652142334E1,-9.475601196E0,4.213649267E1
1.673426055E0,3.026317215E1,2.696352005E1,-8.424201965E0,4.139877028E1
1.683426055E0,3.087808228E1,2.741277313E1,-8.568870544E0,4.217038817E1
1.693426055E0,2.995563507E1,2.623338699E1,-7.649574280E0,4.054684516E1
1.703426055E0,3.025906372E1,2.759716415E1,-5.491115570E0,4.132029473E1
1.713426055E0,3.302832794E1,2.647844696E1,-4.171161652E0,4.253677456E1
1.723426055E0,3.317666245E1,2.713295746E1,3.585815430E-3,4.285893517E1
1.733426055E0,3.333004761E1,2.583872223E1,2.034328461E0,4.222167846E1
1.743426055E0,3.440420914E1,2.632508469E1,3.912586212E0,4.349675874E1
1.753426055E0,3.301663971E1,2.591049194E1,7.132926941E0,4.257147798E1
1.763426055E0,3.117025757E1,2.588710785E1,7.396800995E0,4.118786198E1
1.773426055E0,3.009085083E1,2.561532211E1,1.000409317E1,4.076378185E1
1.783426055E0,3.009085083E1,2.561532211E1,1.000409317E1,4.076378185E1
1.793426055E0,3.131735229E1,2.482135391E1,1.484149170E1,4.262799597E1
1.803426055E0,3.131735229E1,2.482135391E1,1.484149170E1,4.262799597E1
1.813426055E0,3.039574051E1,2.565705109E1,1.248742676E1,4.169078002E1
1.823426055E0,2.932104492E1,2.430939865E1,1.216676712E1,3.998375620E1
1.833426055E0,2.932104492E1,2.430939865E1,1.216676712E1,3.998375620E1
1.843426055E0,3.147346115E1,2.566181183E1,1.174035645E1,4.227225228E1
1.853426055E0,3.378376770E1,2.392329407E1,1.150842285E1,4.296639100E1
1.863426055E0,3.224312592E1,2.494338989E1,1.223210907E1,4.256073731E1
1.873426055E0,3.347996521E1,2.270923615E1,9.502990723E0,4.155627882E1
1.883426055E0,3.517234802E1,2.360084152E1,8.296642303E0,4.316165033E1
1.893426055E0,3.594773483E1,2.106950378E1,5.869010925E0,4.207860405E1
1.903426055E0,3.733671570E1,2.045223236E1,2.660659790E0,4.265446352E1
1.913426055E0,3.641819763E1,2.052309799E1,-1.541652679E0,4.183132036E1
1.923426055E0,3.596229935E1,1.928354645E1,-5.098220825E0,4.112339959E1
1.933426055E0,3.580925369E1,1.970490646E1,-6.345020294E0,4.136236540E1
1.943426055E0,3.642515564E1,2.043044662E1,-7.730983734E0,4.247308821E1
1.953426055E0,3.750191498E1,2.001382446E1,-7.080314636E0,4.309382383E1
1.963426055E0,3.641854095E1,2.326827621E1,-5.287776947E0,4.353944635E1
1.973426055E0,3.380566788E1,2.189495850E1,-5.801158905E0,4.069233138E1
1.983426055E0,3.534036636E1,2.384852219E1,-4.857021332E0,4.291018715E1
1.993426055E0,3.410894394E1,2.311596298E1,-3.331523895E0,4.133844279E1
2.003426055E0,3.441271210E1,2.447510910E1,-1.482536316E0,4.225474687E1
2.013426055E0,3.579651642E1,2.465047836E1,-9.858512878E-1,4.347422885E1
2.023426055E0,3.349120331E1,2.386220169E1,-2.117416382E0,4.117704240E1
2.033426055E0,3.379621124E1,2.419179916E1,-1.017112732E-1,4.156245164E1
2.043426055E0,3.502822495E1,2.361389160E1,-5.286636353E-1,4.224774437E1
2.053426055E0,3.533083344E1,2.469906616E1,2.716346741E0,4.319363611E1
2.063426055E0,3.533335876E1,2.234978485E1,3.362674713E0,4.194361341E1
2.073426055E0,3.487029648E1,2.323186874E1,3.650470734E0,4.205928243E1
2.083426055E0,3.317737579E1,2.336054230E1,4.071166992E0,4.078023543E1
2.093426055E0,3.425388336E1,2.338151550E1,4.407226562E0,4.170668338E1
2.103426055E0,3.425388336E1,2.338151550E1,4.407226562E0,4.170668338E1
2.113426055E0,3.548562241E1,2.150472641E1,5.852478027E0,4.190386801E1
2.123426055E0,3.548562241E1,2.150472641E1,5.852478027E0,4.190386801E1
2.133426055E0,3.640837860E1,2.195632553E1,5.560672760E0,4.287856510E1
2.143426055E0,3.640837860E1,2.195632553E1,5.560672760E0,4.287856510E1
2.153426055E0,3.748882294E1,2.134597397E1,3.118381500E0,4.325259244E1
2.163426055E0,3.748882294E1,2.134597397E1,3.118381500E0,4.325259244E1
2.173426055E0,3.626214600E1,1.939244843E1,1.872379303E0,4.116450039E1
2.183426055E0,3.657155609E1,1.937395477E1,3.326454163E-1,4.138767318E1
2.193426055E0,3.734246063E1,2.037579346E1,-2.445541382E0,4.261001053E1
2.203426055E0,3.580467224E1,2.005531693E1,-2.634845734E0,4.112338390E1
2.213426055E0,3.596324921E1,1.883668518E1,-5.402549744E0,4.095562899E1
2.223426055E0,3.642708588E1,1.939163589E1,-8.183200836E0,4.207057052E1
2.233426055E0,3.781420898E1,1.850965881E1,-9.376594543E0,4.313284590E1
2.243426055E0,3.458034134E1,2.038621521E1,-8.859706879E0,4.110829823E1
2.253426055E0,3.550170898E1,2.085634995E1,-7.913646698E0,4.192832548E1
2.263426055E0,3.580911636E1,2.043037033E1,-7.127246857E0,4.183886344E1
2.273426055E0,3.411135864E1,2.134705353E1,-3.310977936E0,4.037628088E1
2.283426055E0,3.411111450E1,2.265288925E1,-4.718990326E0,4.121881116E1
2.293426055E0,3.549008942E1,2.448450089E1,-1.920139313E0,4.315928829E1
2.303426055E0,3.549165344E1,2.446365356E1,-3.312736511E0,4.323311269E1
2.313426055E0,3.456702805E1,2.287910843E1,8.742904663E-2,4.145287293E1
2.323426055E0,3.502368164E1,2.468745041E1,2.244548798E0,4.290881591E1
2.333426055E0,3.286878204E1,2.640745544E1,1.087680817E0,4.217693191E1
2.343426055E0,3.317577362E1,2.540806198E1,2.964061737E0,4.189256773E1
2.353426055E0,3.271058655E1,2.559478760E1,6.045616150E0,4.197171785E1
2.363426055E0,3.101754761E1,2.543560028E1,6.933937073E0,4.070795382E1
2.373426055E0,3.193655396E1,2.738445282E1,8.172344208E0,4.285602577E1
2.383426055E0,3.008497238E1,2.641722107E1,1.432806396E1,4.252374101E1
2.393426055E0,2.900737000E1,2.670033646E1,1.460750961E1,4.204420077E1
2.403426055E0,2.977573395E1,2.643339920E1,1.571306610E1,4.280443168E1
2.413426055E0,2.792715454E1,2.701818848E1,1.720795631E1,4.249732027E1
2.423426055E0,2.638939285E1,2.568437195E1,1.826850319E1,4.110748382E1
2.433426055E0,2.638939285E1,2.568437195E1,1.826850319E1,4.110748382E1
2.443426055E0,2.916231155E1,2.451701355E1,1.633905602E1,4.145466343E1
2.453426055E0,2.916231155E1,2.451701355E1,1.633905602E1,4.145466343E1
2.463426055E0,3.085499954E1,2.468083572E1,1.576020622E1,4.253890865E1
2.473426055E0,3.085499954E1,2.468083572E1,1.576020622E1,4.253890865E1
2.483426055E0,3.178102493E1,2.349703979E1,1.455883026E1,4.212011353E1
2.493426055E0,3.178102493E1,2.349703979E1,1.455883026E1,4.212011353E1
2.503426055E0,3.378573608E1,2.360762787E1,1.011924744E1,4.244049040E1
2.513426055E0,3.409563446E1,2.285903549E1,9.052272797E0,4.203559724E1
2.523426055E0,3.579216766E1,2.195856857E1,6.319141388E0,4.246397941E1
2.533426055E0,3.502420807E1,2.193067932E1,5.217010498E0,4.165173520E1
2.543426055E0,3.579738617E1,2.188908005E1,1.677143097E0,4.199282666E1
2.553426055E0,3.549285507E1,2.271096039E1,-2.209060669E0,4.219491002E1
2.563426055E0,3.595532227E1,2.313934708E1,-3.595401764E0,4.290852475E1
2.573426055E0,3.656875610E1,2.317416382E1,-1.878135681E0,4.333408803E1
2.583426055E0,3.595188904E1,2.477705383E1,-2.531097412E0,4.373610838E1
2.593426055E0,3.441445160E1,2.445194626E1,-3.029869080E0,4.232531466E1
2.603426055E0,3.379783630E1,2.474900436E1,-2.274822235E0,4.195213668E1
2.613426055E0,3.317498779E1,2.773417282E1,7.704048157E-1,4.324763208E1
2.623426055E0,3.009749222E1,2.900027084E1,-2.493934631E-1,4.179637477E1
2.633426055E0,3.117286682E1,2.860217667E1,1.639141083E0,4.233814969E1
2.643426055E0,3.117043304E1,2.863460541E1,3.805404663E0,4.249726612E1
2.653426055E0,3.101155853E1,2.956768417E1,7.195465088E0,4.344812341E1
2.663426055E0,3.008783722E1,2.869469833E1,8.885005951E0,4.251596161E1
2.673426055E0,2.931754684E1,2.811887360E1,1.057492065E1,4.197640471E1
2.683426055E0,2.916265869E1,2.726219177E1,1.259292984E1,4.186011997E1
2.693426055E0,2.823590851E1,2.773210907E1,1.535019493E1,4.244955697E1
2.703426055E0,2.638749695E1,2.744633484E1,1.778375816E1,4.202217683E1
2.713426055E0,2.531015778E1,2.541027451E1,2.072106361E1,4.142038887E1
2.723426055E0,2.700145340E1,2.559263229E1,2.138007927E1,4.290884644E1
2.733426055E0,2.500302887E1,2.438532257E1,2.149911499E1,4.101228298E1
2.743426055E0,2.530631256E1,2.647456360E1,2.287534523E1,4.318093784E1
2.753426055E0,2.684642792E1,2.546141434E1,2.261585808E1,4.336463246E1
2.763426055E0,2.684642792E1,2.546141434E1,2.261585808E1,4.336463246E1
2.773426055E0,2.715739059E1,2.368559265E1,2.187033463E1,4.215261202E1
2.783426055E0,3.038872528E1,2.603989410E1,1.836386490E1,4.403160505E1
2.793426055E0,3.038872528E1,2.603989410E1,1.836386490E1,4.403160505E1
2.803426055E0,3.085287857E1,2.673529816E1,1.511730385E1,4.353400004E1
2.813426055E0,3.085287857E1,2.673529816E1,1.511730385E1,4.353400004E1
2.823426055E0,3.070131302E1,2.757109070E1,1.200856781E1,4.297605571E1
2.833426055E0,3.085933304E1,2.563626099E1,1.064202118E1,4.150625167E1
2.843426055E0,3.147846985E1,2.487149048E1,8.190048218E0,4.094584219E1
2.853426055E0,3.301650238E1,2.663595581E1,6.350700378E0,4.289399686E1
2.863426055E0,3.240060425E1,2.677865601E1,6.643257141E0,4.255617979E1
