"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.254130600E-2,2.911100006E1,3.238025284E1,-4.621486664E0,4.378686147E1
4.254130600E-2,2.880252457E1,3.296521759E1,-4.635932922E0,4.402025518E1
5.254130600E-2,2.803409195E1,3.265409851E1,-4.960975647E0,4.332218531E1
6.254130600E-2,2.726289749E1,3.411651611E1,-4.997093201E0,4.395649203E1
7.254130600E-2,2.803637314E1,3.161065292E1,-5.722656250E0,4.263825033E1
8.254130600E-2,2.910752106E1,3.517639542E1,-4.963481903E0,4.592671041E1
9.254130600E-2,2.634029770E1,3.279436111E1,-3.766613007E0,4.223113516E1
1.025413060E-1,2.849522018E1,3.281082916E1,-4.796554565E0,4.372110497E1
1.125413060E-1,2.910918808E1,3.370693588E1,-4.636894226E0,4.477726148E1
1.225413060E-1,2.710876846E1,3.382862854E1,-4.378532410E0,4.357101080E1
1.325413060E-1,2.787997055E1,3.323445129E1,-5.435817719E0,4.371921345E1
1.425413060E-1,2.787997055E1,3.323445129E1,-5.435817719E0,4.371921345E1
1.525413060E-1,2.818714142E1,3.223273468E1,-3.714172363E0,4.297975340E1
1.625413060E-1,2.818714142E1,3.223273468E1,-3.714172363E0,4.297975340E1
1.725413060E-1,2.941720581E1,3.370697403E1,-4.938762665E0,4.501025964E1
1.825413060E-1,2.849451065E1,3.383342361E1,-5.427471161E0,4.456562727E1
1.925413060E-1,2.818754959E1,3.280615997E1,-4.804153442E0,4.351852450E1
2.025413060E-1,2.757218170E1,3.294190979E1,-4.975795746E0,4.324526758E1
2.125413060E-1,2.680250549E1,3.279209900E1,-4.374145508E0,4.257733207E1
2.225413060E-1,2.834216690E1,3.236394882E1,-4.949951172E0,4.330364447E1
2.325413060E-1,2.926550293E1,3.251841736E1,-5.393062592E0,4.407949924E1
2.425413060E-1,2.633788300E1,3.456326294E1,-3.787158966E0,4.361932827E1
2.525413060E-1,2.941821289E1,3.296992493E1,-4.930202484E0,4.446070283E1
2.625413060E-1,2.926616287E1,3.178600693E1,-5.075038910E0,4.350418998E1
2.725413060E-1,3.003474045E1,3.223990250E1,-5.061176300E0,4.435214146E1
2.825413060E-1,2.987977600E1,3.268674469E1,-4.605911255E0,4.452458546E1
2.925413060E-1,2.942124176E1,3.162703323E1,-5.997928619E0,4.361024932E1
3.025413060E-1,2.803388214E1,3.193326569E1,-3.869277954E0,4.266852842E1
3.125413060E-1,3.126793671E1,3.092263412E1,-5.634307861E0,4.433552292E1
3.225413060E-1,2.957646561E1,3.074259186E1,-6.138587952E0,4.309937974E1
3.325413060E-1,2.942452621E1,2.984654617E1,-6.751049042E0,4.245227585E1
3.425413060E-1,3.003569031E1,3.179304504E1,-5.365505219E0,4.406505477E1
3.525413060E-1,3.096166992E1,2.988610458E1,-5.629924774E0,4.339931226E1
3.625413060E-1,3.111433792E1,2.874622345E1,-3.136692047E0,4.247689047E1
3.725413060E-1,3.296083832E1,2.905747604E1,-3.868190765E0,4.411027858E1
3.825413060E-1,3.219281006E1,2.845153809E1,-4.189804077E0,4.316736611E1
3.925413060E-1,3.418967438E1,2.967968750E1,-2.916240692E0,4.536873531E1
4.025413060E-1,3.311494827E1,2.760888290E1,-2.299938202E0,4.317568679E1
4.125413060E-1,3.280776215E1,2.687411880E1,-1.834777832E0,4.244919232E1
4.225413060E-1,3.434649658E1,2.674774170E1,-1.949806213E0,4.357665955E1
4.325413060E-1,3.619272232E1,2.576010132E1,-8.090896606E-1,4.443141451E1
4.425413060E-1,3.557852936E1,2.515649796E1,-1.126911163E0,4.358842816E1
4.525413060E-1,3.511653137E1,2.501134491E1,-5.176620483E-1,4.311619329E1
4.625413060E-1,3.527186584E1,2.441478348E1,-1.125949860E0,4.291216536E1
4.725413060E-1,3.527186584E1,2.441478348E1,-1.125949860E0,4.291216536E1
4.825413060E-1,3.650954056E1,2.144589996E1,-3.691776276E0,4.250296918E1
4.925413060E-1,3.650954056E1,2.144589996E1,-3.691776276E0,4.250296918E1
5.025413060E-1,3.727928162E1,2.217377090E1,-5.073940277E0,4.367110972E1
5.125413060E-1,3.512999725E1,2.077966309E1,-7.432720184E0,4.148682242E1
5.225413060E-1,3.666604996E1,2.199154282E1,-6.789493561E0,4.329115842E1
5.325413060E-1,3.697388840E1,2.112565994E1,-5.843219757E0,4.298261449E1
5.425413060E-1,3.589280701E1,2.420490265E1,-5.905769348E0,4.369266550E1
5.525413060E-1,3.696984863E1,2.320560074E1,-4.784057617E0,4.391078251E1
5.625413060E-1,3.512124252E1,2.393547821E1,-3.445610046E0,4.264130652E1
5.725413060E-1,3.542973328E1,2.421874619E1,-4.524570465E0,4.315420495E1
5.825413060E-1,3.450055313E1,2.558933258E1,-6.944427490E-1,4.296026489E1
5.925413060E-1,3.695705032E1,2.757311630E1,1.355625153E0,4.612957870E1
6.025413060E-1,3.496009064E1,2.591199875E1,7.061347961E-1,4.352169853E1
6.125413060E-1,3.433911896E1,2.814854050E1,2.986255646E0,4.450205777E1
6.225413060E-1,3.326531219E1,2.852578735E1,-2.948760986E-1,4.382223741E1
6.325413060E-1,3.126033783E1,2.798455048E1,4.923507690E0,4.224434536E1
6.425413060E-1,3.310652542E1,2.902358627E1,3.564517975E0,4.417144297E1
6.525413060E-1,3.449015808E1,2.731969452E1,6.559188843E0,4.448549956E1
6.625413060E-1,3.418240356E1,2.775030518E1,6.082256317E0,4.444670958E1
6.725413060E-1,3.341498566E1,2.670213699E1,5.765773773E0,4.316027727E1
6.825413060E-1,3.541685867E1,2.713997269E1,3.489032745E0,4.475606490E1
6.925413060E-1,3.434228516E1,2.608018494E1,2.700752258E0,4.320720610E1
7.025413060E-1,3.542261505E1,2.330038452E1,3.069347382E0,4.250988672E1
7.125413060E-1,3.757560730E1,2.435566330E1,2.491619110E0,4.484788473E1
7.225413060E-1,3.619463730E1,2.298480988E1,9.255027771E-1,4.288600949E1
7.325413060E-1,3.635451508E1,2.131468582E1,-2.455997467E0,4.221372433E1
