"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.795812900E-2,3.218235779E1,2.658512115E1,-4.101943970E0,4.194399556E1
3.795812900E-2,3.218220139E1,2.557410431E1,-2.697364807E0,4.119471658E1
4.795812900E-2,3.325859833E1,2.617544556E1,-2.987079620E0,4.242889296E1
5.795812900E-2,3.433691406E1,2.486974335E1,-2.635612488E0,4.247910374E1
6.795812900E-2,3.464594269E1,2.413273239E1,-2.928916931E0,4.232385464E1
7.795812900E-2,3.557314301E1,2.220957565E1,-4.276462555E0,4.215450019E1
8.795812900E-2,3.741816711E1,2.297463608E1,-4.239429474E0,4.411265006E1
9.795812900E-2,3.526419830E1,2.251130295E1,-3.513820648E0,4.198415627E1
1.079581290E-1,3.557818604E1,1.939258575E1,-5.327068329E0,4.086878223E1
1.179581290E-1,3.542317963E1,2.099785614E1,-6.278099060E0,4.165484540E1
1.279581290E-1,3.542468643E1,2.126719666E1,-7.983589172E0,4.208253508E1
1.379581290E-1,3.542468643E1,2.126719666E1,-7.983589172E0,4.208253508E1
1.479581290E-1,3.773745728E1,1.935115051E1,-1.022534180E1,4.362499653E1
1.579581290E-1,3.773745728E1,1.935115051E1,-1.022534180E1,4.362499653E1
1.679581290E-1,3.588676453E1,2.010882187E1,-7.030094147E0,4.173304217E1
1.779581290E-1,3.681236267E1,2.023318100E1,-9.484745026E0,4.306381366E1
1.879581290E-1,3.650961304E1,1.712365341E1,-1.007532120E1,4.156541167E1
1.979581290E-1,3.588972092E1,2.006944275E1,-9.660560608E0,4.223956713E1
2.079581290E-1,3.758305359E1,2.051419067E1,-1.117123413E1,4.425058653E1
2.179581290E-1,3.758364868E1,1.920372772E1,-1.007269287E1,4.339093164E1
2.279581290E-1,3.588885117E1,2.008102417E1,-8.886894226E0,4.207414953E1
2.379581290E-1,3.542919159E1,1.947048950E1,-9.819843292E0,4.160236652E1
2.479581290E-1,3.665856934E1,1.907241821E1,-8.082244873E0,4.210618155E1
2.579581290E-1,3.619284439E1,2.027943039E1,-5.786342621E0,4.188865053E1
2.679581290E-1,3.619305420E1,2.100026321E1,-6.878036499E0,4.240584410E1
2.779581290E-1,3.742027283E1,2.193350983E1,-4.846382141E0,4.364450815E1
2.879581290E-1,3.618698120E1,2.281781387E1,-3.649181366E0,4.293561183E1
2.979581290E-1,3.541981506E1,2.133205032E1,-3.651058197E0,4.150843163E1
3.079581290E-1,3.557281113E1,2.120087433E1,-2.717144012E0,4.150041970E1
3.179581290E-1,3.726585007E1,2.136006546E1,-3.605464935E0,4.310447024E1
3.279581290E-1,3.664987183E1,2.193804932E1,-3.782245636E0,4.288119045E1
3.379581290E-1,3.634320831E1,2.119633484E1,-3.781284332E0,4.224229530E1
3.479581290E-1,3.572682953E1,2.206913376E1,-3.961486816E0,4.217992877E1
3.579581290E-1,3.726367950E1,2.182313919E1,-2.217998505E0,4.324061438E1
3.679581290E-1,3.726468658E1,2.108609390E1,-2.209438324E0,4.287378966E1
3.779581290E-1,3.726517487E1,2.035599899E1,-1.736682892E0,4.249795313E1
3.879581290E-1,3.634432220E1,1.987891769E1,-3.146942139E0,4.154496805E1
3.979581290E-1,3.726639175E1,2.033978271E1,-2.819812775E0,4.254928976E1
