"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.054250100E-2,3.380925751E1,2.401807785E1,-1.170670700E1,4.309270177E1
4.054250100E-2,3.349890900E1,2.347010040E1,-8.612792969E0,4.179955406E1
5.054250100E-2,3.427087402E1,2.344470978E1,-1.106952286E1,4.297303293E1
6.054250100E-2,3.319239807E1,2.373940277E1,-1.001641083E1,4.201931722E1
7.054250100E-2,3.457920456E1,2.271696854E1,-1.074390030E1,4.274591724E1
8.054250100E-2,3.534965515E1,2.242223740E1,-1.149514389E1,4.341074962E1
9.054250100E-2,3.319724274E1,2.106982040E1,-1.106872940E1,4.084741152E1
1.005425010E-1,3.427188110E1,2.270766449E1,-1.106096268E1,4.257399155E1
1.105425010E-1,3.457960510E1,2.242214584E1,-1.074047470E1,4.258942956E1
1.205425010E-1,3.319570541E1,2.369539261E1,-1.295634842E1,4.279361463E1
1.305425010E-1,3.273178864E1,2.357572174E1,-1.064503479E1,4.171931697E1
1.405425010E-1,3.335002518E1,2.296763229E1,-1.247978592E1,4.237312083E1
1.505425010E-1,3.150388336E1,2.351998520E1,-1.315116119E1,4.145645199E1
1.605425010E-1,3.150388336E1,2.351998520E1,-1.315116119E1,4.145645199E1
1.705425010E-1,3.273544312E1,2.352708054E1,-1.389443207E1,4.264021572E1
1.805425010E-1,3.088248444E1,2.706467819E1,-1.212431335E1,4.281616079E1
1.905425010E-1,3.088248444E1,2.706467819E1,-1.212431335E1,4.281616079E1
2.005425010E-1,3.103882599E1,2.486282730E1,-1.163063431E1,4.143477470E1
2.105425010E-1,3.103755188E1,2.516922760E1,-1.086038971E1,4.140975379E1
2.205425010E-1,3.349730682E1,2.551760864E1,-9.719890594E0,4.321682761E1
2.305425010E-1,3.349589539E1,2.654947281E1,-9.731876373E0,4.383558979E1
2.405425010E-1,3.288290405E1,2.419317245E1,-8.946014404E0,4.179265660E1
2.505425010E-1,3.241983032E1,2.420701599E1,-7.564815521E0,4.116128588E1
2.605425010E-1,3.303661346E1,2.303939819E1,-7.381187439E0,4.094769379E1
2.705425010E-1,3.303306198E1,2.438924026E1,-5.849262238E0,4.147568075E1
2.805425010E-1,3.411198425E1,2.264130783E1,-5.492656708E0,4.130890422E1
