"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.384339900E-2,6.187093258E0,-5.017145157E0,-5.428067207E0,9.639283278E0
2.624636800E-2,6.187093258E0,-5.017145157E0,-5.428067207E0,9.639283278E0
2.864933700E-2,6.206246376E0,-5.012356758E0,-5.430460930E0,9.650446635E0
3.105230600E-2,6.206246376E0,-5.012356758E0,-5.430460930E0,9.650446635E0
3.350126400E-2,6.251733780E0,-4.971657276E0,-5.504678249E0,9.700671830E0
3.599600400E-2,6.254127979E0,-5.005174637E0,-5.566924572E0,9.754821327E0
3.849032700E-2,6.282856941E0,-5.000386238E0,-5.624382973E0,9.803664504E0
4.098444100E-2,6.337921619E0,-4.986021996E0,-5.705782413E0,9.878543351E0
4.347860800E-2,6.335526943E0,-4.974051476E0,-5.760846615E0,9.902900759E0
4.597287900E-2,6.373833179E0,-4.971657276E0,-5.851822853E0,9.979326439E0
4.846709700E-2,6.404956341E0,-4.964474678E0,-5.961951256E0,1.006053365E1
5.096121200E-2,6.407350063E0,-4.983627796E0,-6.005044937E0,1.009709094E1
5.345537900E-2,6.445655823E0,-4.983627796E0,-6.031380177E0,1.013708892E1
5.594959700E-2,6.450444221E0,-4.971657276E0,-6.072079659E0,1.015853130E1
5.844376400E-2,6.457626343E0,-4.950110435E0,-6.067291737E0,1.014970740E1
6.093787900E-2,6.455232143E0,-4.966869354E0,-6.100809097E0,1.017642790E1
6.343204500E-2,6.460020542E0,-4.974051476E0,-6.057714939E0,1.015721240E1
6.592626400E-2,6.450444221E0,-4.966869354E0,-6.050532818E0,1.014332141E1
6.842043100E-2,6.450444221E0,-4.964474678E0,-6.012227058E0,1.011934354E1
7.091454500E-2,6.450444221E0,-4.966869354E0,-5.966739178E0,1.009356222E1
7.340866000E-2,6.421715260E0,-4.950110435E0,-5.899704456E0,1.002738914E1
7.590277400E-2,6.426503181E0,-4.954898834E0,-5.830275536E0,9.992150841E0
7.839688900E-2,6.431291103E0,-4.952504158E0,-5.760846615E0,9.953700639E0
