"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,9.015340805E0,-2.240723133E0,-1.467911363E0,9.404890949E0
0.000000000E0,9.666835785E0,-2.393946886E0,-9.097676277E-1,1.000031864E1
0.000000000E0,1.010871792E1,-2.569538116E0,-4.452108443E-1,1.043967992E1
0.000000000E0,1.026373386E1,-2.487647533E0,-1.454965353E0,1.066065417E1
0.000000000E0,9.926877022E0,-2.209075689E0,-1.254856467E0,1.024683207E1
0.000000000E0,9.402279854E0,-2.087333441E0,-1.103759885E0,9.694230925E0
0.000000000E0,9.382861137E0,-2.196727514E0,-9.793180227E-1,9.686214879E0
0.000000000E0,9.338475227E0,-2.238142252E0,-6.931379437E-1,9.627919844E0
0.000000000E0,9.413431168E0,-2.301828384E0,-9.826840758E-1,9.740470638E0
0.000000000E0,9.539212227E0,-2.211516142E0,-1.138686538E0,9.858193576E0
0.000000000E0,9.559823990E0,-2.225587606E0,-3.864003420E-1,9.823073864E0
0.000000000E0,9.459662437E0,-2.227102757E0,-1.586352661E-2,9.718304984E0
0.000000000E0,9.491724014E0,-2.376861334E0,-2.549687326E-1,9.788120536E0
0.000000000E0,9.347663879E0,-2.387836456E0,2.535784841E-1,9.651159774E0
0.000000000E0,9.360897064E0,-2.443148851E0,-3.532156050E-1,9.680915836E0
1.823812600E-2,9.390397072E0,-2.208867550E0,-4.124301374E-1,9.655503697E0
2.064109500E-2,9.390397072E0,-2.208867550E0,-4.124301374E-1,9.655503697E0
2.307015700E-2,9.376032829E0,-2.187320709E0,-3.741245568E-1,9.635057482E0
2.552531400E-2,9.376032829E0,-2.187320709E0,-3.741245568E-1,9.635057482E0
2.798052200E-2,9.383214951E0,-2.177744389E0,-3.813068569E-1,9.640160183E0
3.043583400E-2,9.383214951E0,-2.177744389E0,-3.813068569E-1,9.640160183E0
3.289130300E-2,9.390397072E0,-2.158591509E0,-3.501835763E-1,9.641664950E0
3.534682400E-2,9.402367592E0,-2.184926510E0,-3.214543760E-1,9.658247931E0
3.780218900E-2,9.380820274E0,-2.170562029E0,-2.927252054E-1,9.633110432E0
4.025755300E-2,9.368849754E0,-2.127468348E0,-2.927252054E-1,9.611823726E0
4.271291800E-2,9.411943436E0,-2.125074148E0,-2.975133955E-1,9.653451900E0
4.516833400E-2,9.402367592E0,-2.139438868E0,-2.639960051E-1,9.646315820E0
4.762375100E-2,9.385608673E0,-2.132256508E0,-2.687842250E-1,9.628520807E0
5.007911600E-2,9.421519279E0,-2.151409388E0,-2.951192856E-1,9.668540907E0
5.253448000E-2,9.411943436E0,-2.160985470E0,-2.855429053E-1,9.661059579E0
5.498989700E-2,9.411943436E0,-2.153803349E0,-2.807546854E-1,9.659315260E0
5.744526200E-2,9.428702354E0,-2.151409388E0,-3.094838858E-1,9.675989392E0
5.990062600E-2,9.421519279E0,-2.170562029E0,-3.382130861E-1,9.674231398E0
6.234755300E-2,9.383214951E0,-2.184926510E0,-3.645481467E-1,9.641136967E0
6.477078200E-2,9.368849754E0,-2.225626230E0,-3.789127469E-1,9.637029247E0
6.717797000E-2,9.373639107E0,-2.213655710E0,-3.932773471E-1,9.639504592E0
6.958494900E-2,9.361667633E0,-2.230414629E0,-3.765186667E-1,9.631061032E0
7.199286600E-2,9.340120316E0,-2.247173309E0,-3.860950768E-1,9.614400907E0
7.440031400E-2,9.294632912E0,-2.244779110E0,-3.908832669E-1,9.569849735E0
7.680713700E-2,9.253933907E0,-2.263931751E0,-3.884891570E-1,9.534757655E0
7.921401200E-2,9.232386589E0,-2.247173309E0,-3.884891570E-1,9.509872441E0
8.162125100E-2,9.203657150E0,-2.254355669E0,-3.741245568E-1,9.483110967E0
8.402901200E-2,9.177321434E0,-2.259143829E0,-3.813068569E-1,9.458982739E0
8.643588700E-2,9.162958145E0,-2.256749630E0,-3.860950768E-1,9.444669940E0
8.884250100E-2,9.174927711E0,-2.232808590E0,-3.884891570E-1,9.450696087E0
9.125031400E-2,9.174927711E0,-2.235202789E0,-4.076419473E-1,9.452068661E0
9.365770900E-2,9.160563469E0,-2.232808590E0,-4.076419473E-1,9.437559495E0
9.606448000E-2,9.184504509E0,-2.213655710E0,-4.076419473E-1,9.456297724E0
9.847177200E-2,9.215627670E0,-2.204079628E0,-4.100360274E-1,9.484402454E0
1.008790640E-1,9.253933907E0,-2.172955990E0,-4.148242176E-1,9.514678639E0
1.032865640E-1,9.273085594E0,-2.177744389E0,-4.315829277E-1,9.535142940E0
1.056936990E-1,9.289844513E0,-2.175350428E0,-4.220065475E-1,9.550468579E0
1.081004180E-1,9.342514992E0,-2.163379908E0,-4.196124375E-1,9.598899603E0
1.105078140E-1,9.378426552E0,-2.156197548E0,-4.220065475E-1,9.632349764E0
1.129146370E-1,9.419125557E0,-2.146620989E0,-4.244006276E-1,9.669954696E0
1.153208870E-1,9.431097031E0,-2.149015188E0,-4.052478373E-1,9.681326525E0
1.177273450E-1,9.462219238E0,-2.149015188E0,-4.124301374E-1,9.711949228E0
1.201339590E-1,9.464613914E0,-2.151409388E0,-4.339770377E-1,9.715750870E0
1.225412510E-1,9.493342400E0,-2.160985470E0,-4.076419473E-1,9.744720626E0
