"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,9.789761543E0,-1.676829696E0,2.131851673E0,1.015854224E1
0.000000000E0,1.012234974E1,-1.993788600E0,2.431773186E0,1.059956028E1
0.000000000E0,1.001386833E1,-2.059818745E0,2.434488535E0,1.050938374E1
0.000000000E0,1.018188763E1,-1.954840660E0,2.485850573E0,1.066169268E1
0.000000000E0,9.614777565E0,-1.908455491E0,1.505766630E0,9.917332460E0
0.000000000E0,9.902696609E0,-1.309462428E0,1.188572884E0,1.005936367E1
0.000000000E0,9.087282181E0,-1.438436985E0,1.075257659E0,9.263043637E0
0.000000000E0,8.473456383E0,-9.136601686E-1,-2.065376341E-1,8.525074532E0
0.000000000E0,8.473456383E0,-9.136601686E-1,-2.065376341E-1,8.525074532E0
0.000000000E0,8.382481575E0,-9.256306291E-1,-2.137199342E-1,8.436140446E0
3.985550000E-4,8.382481575E0,-9.256306291E-1,-2.137199342E-1,8.436140446E0
2.849909000E-3,8.310658455E0,-9.376011491E-1,-1.778084636E-1,8.365270810E0
5.301472000E-3,8.310658455E0,-9.376011491E-1,-1.778084636E-1,8.365270810E0
7.753243000E-3,8.269958496E0,-9.184483886E-1,-1.538674682E-1,8.322225434E0
1.020517000E-2,8.269958496E0,-9.184483886E-1,-1.538674682E-1,8.322225434E0
1.265699300E-2,8.188559532E0,-9.280247688E-1,-1.490792632E-1,8.242327451E0
1.510871100E-2,8.188559532E0,-9.280247688E-1,-1.490792632E-1,8.242327451E0
1.756043000E-2,8.176589012E0,-9.184483886E-1,-1.873848438E-1,8.230143887E0
2.001220100E-2,8.176589012E0,-9.184483886E-1,-1.873848438E-1,8.230143887E0
2.246397200E-2,8.143072128E0,-9.016897082E-1,-2.041435391E-1,8.195385446E0
2.491574300E-2,8.143072128E0,-9.016897082E-1,-2.041435391E-1,8.195385446E0
2.736751400E-2,8.131101608E0,-8.825368881E-1,-1.682320684E-1,8.180585966E0
2.981928400E-2,8.131101608E0,-8.825368881E-1,-1.682320684E-1,8.180585966E0
3.227110700E-2,8.126312256E0,-8.681722879E-1,-1.586556733E-1,8.174096013E0
3.472298200E-2,8.126312256E0,-8.681722879E-1,-1.586556733E-1,8.174096013E0
3.717480500E-2,8.133495331E0,-8.538076878E-1,-1.227441877E-1,8.179107531E0
3.962657600E-2,8.145465851E0,-8.226844072E-1,-8.443860710E-2,8.187341048E0
4.207839900E-2,8.183771133E0,-8.035316467E-1,-3.176843747E-2,8.223185654E0
4.453027400E-2,8.171800613E0,-8.298667073E-1,-1.740384847E-2,8.213848484E0
4.698209700E-2,8.207712173E0,-7.795906663E-1,-2.458613366E-2,8.244689516E0
4.943392000E-2,8.241230011E0,-7.676201463E-1,-7.827445865E-3,8.276906068E0
5.188574300E-2,8.265171051E0,-7.580437660E-1,6.537146866E-3,8.299862986E0
5.433756600E-2,8.301081657E0,-7.460732460E-1,-5.433343351E-3,8.334543268E0
5.678938900E-2,8.346570015E0,-7.245264053E-1,-5.433343351E-3,8.377959122E0
5.924121100E-2,8.387269974E0,-7.364968657E-1,8.931249380E-3,8.419548979E0
6.169303400E-2,8.415998459E0,-7.269204259E-1,-2.458613366E-2,8.447369285E0
6.414485700E-2,8.471062660E0,-7.676201463E-1,-5.810352042E-2,8.505969627E0
6.659668000E-2,8.530915260E0,-7.604378462E-1,-1.658379734E-1,8.566345961E0
6.904850300E-2,8.585979462E0,-7.748024464E-1,-2.448432148E-1,8.624344053E0
7.150032600E-2,8.621891975E0,-7.963493466E-1,-3.262425661E-1,8.664734718E0
7.395214900E-2,8.674561501E0,-8.178961873E-1,-3.573658764E-1,8.720360186E0
7.640397200E-2,8.700896263E0,-8.562018275E-1,-4.459475279E-1,8.754287324E0
7.885579500E-2,8.743990898E0,-8.753545880E-1,-5.297409296E-1,8.803649694E0
8.130761800E-2,8.758355141E0,-9.184483886E-1,-6.326872110E-1,8.829078396E0
8.375949300E-2,8.806236267E0,-9.447834492E-1,-7.547862530E-1,8.888875927E0
8.621136800E-2,8.832571983E0,-1.007030010E0,-8.744912148E-1,8.932702400E0
8.866324300E-2,8.854118347E0,-1.019000530E0,-9.798315763E-1,8.966261412E0
9.111511800E-2,8.875665665E0,-1.035759211E0,-1.070807338E0,8.999825914E0
9.356699300E-2,8.882847786E0,-1.071670651E0,-1.111506939E0,9.016036294E0
9.601886800E-2,8.923547745E0,-1.109976172E0,-1.133053899E0,9.063418924E0
9.847069100E-2,8.937912941E0,-1.126734972E0,-1.109112859E0,9.076670688E0
1.009225140E-1,8.976217270E0,-1.155464053E0,-1.087566018E0,9.115392120E0
1.033743360E-1,8.995370865E0,-1.196163654E0,-1.073201418E0,9.137793266E0
1.058261590E-1,9.031281471E0,-1.198557854E0,-1.049260378E0,9.170688812E0
1.082779820E-1,9.004946709E0,-1.236863494E0,-1.121083379E0,9.158369094E0
1.107298050E-1,8.992977142E0,-1.256016254E0,-1.236000180E0,9.164000827E0
1.131816280E-1,9.002552986E0,-1.260804415E0,-1.324581742E0,9.186408702E0
1.156334510E-1,8.981005669E0,-1.272774935E0,-1.353310943E0,9.171143296E0
1.180728780E-1,8.961853981E0,-1.296715975E0,-1.386828423E0,9.160763733E0
1.204886070E-1,8.978611946E0,-1.301504135E0,-1.439498544E0,9.185942605E0
1.228920970E-1,9.019311905E0,-1.308686495E0,-1.422739744E0,9.224144186E0
1.252953260E-1,9.028887749E0,-1.318262815E0,-1.480198145E0,9.243896223E0
1.276989720E-1,9.062405586E0,-1.289533615E0,-1.508927345E0,9.277227694E0
1.301025140E-1,9.093528748E0,-1.303898215E0,-1.590326786E0,9.323173007E0
1.325066800E-1,9.124651909E0,-1.311080456E0,-1.592720866E0,9.354943302E0
1.349104820E-1,9.177321434E0,-1.323050976E0,-1.621449947E0,9.412905636E0
1.373136070E-1,9.244357109E0,-1.335021496E0,-1.554415226E0,9.468718364E0
1.397174610E-1,9.297026634E0,-1.332627296E0,-1.473015904E0,9.506859397E0
1.421207950E-1,9.373639107E0,-1.344597816E0,-1.413163424E0,9.574449554E0
1.445238160E-1,9.416731834E0,-1.356568336E0,-1.346128583E0,9.608703256E0
1.469272530E-1,9.495738029E0,-1.409238577E0,-1.336552262E0,9.692335428E0
1.493305340E-1,9.536437035E0,-1.418814898E0,-1.322187662E0,9.731641549E0
1.517342840E-1,9.531648636E0,-1.459514618E0,-1.343734503E0,9.735919630E0
1.541378260E-1,9.569954872E0,-1.469091058E0,-1.322187662E0,9.771921255E0
1.565410550E-1,9.538830757E0,-1.505002499E0,-1.398798823E0,9.757610511E0
1.589449090E-1,9.538830757E0,-1.550490379E0,-1.427528024E0,9.768886778E0
1.613483470E-1,9.464613914E0,-1.586401820E0,-1.484986424E0,9.710858457E0
1.637514720E-1,9.409549713E0,-1.624707460E0,-1.525686026E0,9.669902687E0
1.661553260E-1,9.340120316E0,-1.667801261E0,-1.587932587E0,9.619820084E0
