"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.299361706E0,-2.815261841E0,-7.218692303E0,9.387142924E0
0.000000000E0,5.382246971E0,-2.687450171E0,-7.613574028E0,9.703477745E0
0.000000000E0,5.531357288E0,-2.585484028E0,-8.189788818E0,1.021534542E1
0.000000000E0,5.425501347E0,-2.554428339E0,-8.588182449E0,1.047463827E1
0.000000000E0,5.266043663E0,-2.424214363E0,-8.484321594E0,1.027578435E1
0.000000000E0,5.358662128E0,-2.252578497E0,-8.409478188E0,1.022294933E1
0.000000000E0,5.615235806E0,-2.132755041E0,-8.452312469E0,1.036923832E1
0.000000000E0,5.613866806E0,-2.141602516E0,-8.462491035E0,1.037861823E1
0.000000000E0,5.535898209E0,-2.170562029E0,-8.509272575E0,1.038100324E1
1.166698000E-2,4.516012192E0,-1.840176344E0,-7.206882477E0,8.701710759E0
1.406994900E-2,4.516012192E0,-1.840176344E0,-7.206882477E0,8.701710759E0
1.651802200E-2,5.437740326E0,-2.144227028E0,-8.351262093E0,1.019364056E1
1.901119900E-2,5.437740326E0,-2.144227028E0,-8.351262093E0,1.019364056E1
2.150453200E-2,5.456892967E0,-2.134650469E0,-8.346473694E0,1.019794276E1
2.399807400E-2,5.456892967E0,-2.134650469E0,-8.346473694E0,1.019794276E1
2.649182400E-2,5.461681366E0,-2.137044668E0,-8.312955856E0,1.017360105E1
2.898573000E-2,5.461681366E0,-2.137044668E0,-8.312955856E0,1.017360105E1
3.147963600E-2,5.499986649E0,-2.151409388E0,-8.305773735E0,1.019138326E1
3.397343800E-2,5.519139767E0,-2.141832829E0,-8.291409492E0,1.018802351E1
3.646718800E-2,5.540686607E0,-2.153803349E0,-8.272256851E0,1.018667317E1
3.896099000E-2,5.576598167E0,-2.156197548E0,-8.281832695E0,1.021451848E1
4.145484400E-2,5.602932930E0,-2.153803349E0,-8.265073776E0,1.021485050E1
4.394869900E-2,5.631662369E0,-2.165773869E0,-8.238739014E0,1.021190570E1
4.644250100E-2,5.636450768E0,-2.175350428E0,-8.243527412E0,1.022044377E1
4.893630300E-2,5.646027088E0,-2.192109108E0,-8.245921135E0,1.023123549E1
5.143015700E-2,5.665179729E0,-2.199291229E0,-8.198040009E0,1.020485195E1
5.392401100E-2,5.657997608E0,-2.192109108E0,-8.217191696E0,1.021472068E1
5.641781300E-2,5.665179729E0,-2.196897030E0,-8.210010529E0,1.021395569E1
5.891161500E-2,5.638844490E0,-2.213655710E0,-8.214797974E0,1.020684792E1
6.140546900E-2,5.653209209E0,-2.201685429E0,-8.233950615E0,1.022761633E1
6.389932400E-2,5.643632889E0,-2.206473589E0,-8.250709534E0,1.023686112E1
6.639317800E-2,5.595750809E0,-2.216049910E0,-8.255497932E0,1.021648425E1
6.888703200E-2,5.602932930E0,-2.225626230E0,-8.269862175E0,1.023410426E1
7.137349000E-2,5.583780289E0,-2.223232269E0,-8.284227371E0,1.023473435E1
7.383520900E-2,5.552657127E0,-2.237596750E0,-8.262680054E0,1.020346618E1
7.627989700E-2,5.519139767E0,-2.242385149E0,-8.265073776E0,1.018825988E1
7.872536500E-2,5.492804527E0,-2.256749630E0,-8.219586372E0,1.014028701E1
8.117083400E-2,5.468863487E0,-2.251961231E0,-8.236345291E0,1.013988072E1
8.361557400E-2,5.425769806E0,-2.244779110E0,-8.200433731E0,1.008588740E1
8.606026100E-2,5.406617165E0,-2.239990711E0,-8.181281090E0,1.005894765E1
8.850578200E-2,5.370705605E0,-2.220838070E0,-8.178886414E0,1.003348311E1
9.095125100E-2,5.341976166E0,-2.213655710E0,-8.138187408E0,9.983339885E0
9.339593800E-2,5.315640926E0,-2.220838070E0,-8.128610611E0,9.963055287E0
9.584062600E-2,5.274941444E0,-2.201685429E0,-8.121428490E0,9.931265110E0
9.828614700E-2,5.272547722E0,-2.216049910E0,-8.176492691E0,9.978259839E0
1.007316150E-1,5.270153522E0,-2.223232269E0,-8.162128448E0,9.966826008E0
1.031763030E-1,5.267759323E0,-2.235202789E0,-8.171704292E0,9.976079933E0
1.056209900E-1,5.251000881E0,-2.239990711E0,-8.176492691E0,9.972241542E0
1.080665110E-1,5.246212482E0,-2.251961231E0,-8.188463211E0,9.982234447E0
1.105119800E-1,5.251000881E0,-2.266326189E0,-8.198040009E0,9.995854372E0
1.129566670E-1,5.246212482E0,-2.273508310E0,-8.210010529E0,1.000479177E1
1.154013550E-1,5.253394604E0,-2.285478830E0,-8.205221176E0,1.000735844E1
1.178468760E-1,5.251000881E0,-2.283084869E0,-8.219586372E0,1.001733931E1
1.202923440E-1,5.236636162E0,-2.280690670E0,-8.207615852E0,9.999443295E0
1.227370840E-1,5.255788803E0,-2.297449350E0,-8.210010529E0,1.001528144E1
1.251817720E-1,5.253394604E0,-2.330966473E0,-8.202827454E0,1.001588427E1
1.276272400E-1,5.241424084E0,-2.340543032E0,-8.174098969E0,9.988321283E0
1.300727090E-1,5.260577202E0,-2.335754871E0,-8.157340050E0,9.983567499E0
1.325174490E-1,5.262970924E0,-2.366878033E0,-8.152551651E0,9.988246743E0
1.349621360E-1,5.255788803E0,-2.345331430E0,-8.131004333E0,9.961783321E0
1.374076570E-1,5.255788803E0,-2.359695911E0,-8.116640091E0,9.953458047E0
1.398531260E-1,5.267759323E0,-2.366878033E0,-8.080728531E0,9.932249166E0
1.422978130E-1,5.267759323E0,-2.395607233E0,-8.056787491E0,9.919679782E0
1.447425010E-1,5.277335644E0,-2.388425112E0,-8.011299133E0,9.886139783E0
1.471880220E-1,5.246212482E0,-2.402789593E0,-7.937082767E0,9.812921384E0
1.496334900E-1,5.279729843E0,-2.405183792E0,-7.937082767E0,9.831466785E0
1.520781780E-1,5.258183002E0,-2.395607233E0,-7.867653847E0,9.761526497E0
