"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,6.525040150E0,-3.499073505E0,-6.660720348E0,9.959159599E0
0.000000000E0,6.613261700E0,-3.493328094E0,-6.573669910E0,9.957495045E0
0.000000000E0,6.533498764E0,-3.537175894E0,-6.603164673E0,9.939819068E0
0.000000000E0,6.435676098E0,-3.679030895E0,-6.289800167E0,9.721871286E0
0.000000000E0,6.490939140E0,-3.759572029E0,-6.435311317E0,9.883314450E0
0.000000000E0,6.258969784E0,-3.740886211E0,-6.413604736E0,9.710986465E0
0.000000000E0,6.188620567E0,-3.808965683E0,-6.387031555E0,9.674782488E0
0.000000000E0,6.232193947E0,-3.835310459E0,-6.353192806E0,9.690867172E0
0.000000000E0,6.147224903E0,-3.861264467E0,-6.313989639E0,9.621029179E0
0.000000000E0,6.110149860E0,-3.879426956E0,-6.399557590E0,9.661170849E0
0.000000000E0,6.389723301E0,-3.997411251E0,-6.722143173E0,1.009926084E1
0.000000000E0,6.638822079E0,-3.799495697E0,-6.350770473E0,9.941952110E0
0.000000000E0,6.547132492E0,-3.960476160E0,-6.596745491E0,1.010283952E1
0.000000000E0,6.504105091E0,-3.869958639E0,-6.933794022E0,1.026437833E1
0.000000000E0,6.463140488E0,-3.935445309E0,-6.592408657E0,1.003592381E1
0.000000000E0,6.415493965E0,-4.216436386E0,-6.554236889E0,1.009430135E1
3.248705000E-3,6.179911137E0,-4.320462227E0,-6.251636982E0,9.794930345E0
5.651674000E-3,6.179911137E0,-4.320462227E0,-6.251636982E0,9.794930345E0
8.078496000E-3,6.175122738E0,-4.318068504E0,-6.311489582E0,9.829178866E0
1.052917400E-2,6.175122738E0,-4.318068504E0,-6.311489582E0,9.829178866E0
1.298000700E-2,6.206246376E0,-4.306097984E0,-6.402465343E0,9.902097576E0
1.543099600E-2,6.206246376E0,-4.306097984E0,-6.402465343E0,9.902097576E0
1.788219400E-2,6.230186939E0,-4.303703785E0,-6.464712143E0,9.956384819E0
